,pclasses.csv,tzod.csv,psrchive.csv,liferea.csv,atlc.csv,theresa.csv,pfaedit.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,tktoolkit.csv,miranda-icq.csv,aten.csv,adobe-source.csv,ipfilter.csv,trinitycore.csv,zemljanka.csv,rockbox.csv
adobe-source.csv,0.11,0.13,0.41,0.0,0.0,0.38,0.44,0.05,0.0,0.5,0.0,0.42,0.32,0.67,0.42,0.33,0.0,0.19
atlc.csv,0.45,0.41,0.57,0.46,0.81,0.46,0.51,0.61,0.24,0.47,0.17,0.66,0.0,0.57,0.73,0.6,0.5,0.54
ipfilter.csv,0.34,0.56,0.64,0.31,0.36,0.49,0.44,0.71,0.09,0.51,0.24,0.63,0.0,0.53,0.92,0.47,0.57,0.52
liferea.csv,0.62,0.48,0.75,0.36,0.18,0.75,0.37,0.26,0.14,0.53,0.25,0.5,0.59,0.31,0.47,0.63,0.3,0.13
miranda-icq.csv,0.21,0.26,0.33,0.35,0.34,0.36,0.07,0.3,0.39,0.23,0.16,0.36,0.18,0.27,0.18,0.24,0.04,0.06
opensim4opencog.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pclasses.csv,0.5,0.26,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.13,0.04,0.0,0.31,0.0,0.6
pfaedit.csv,0.4,0.64,0.68,0.18,0.0,0.86,0.79,0.2,0.14,0.57,0.26,0.02,0.55,0.5,0.05,0.62,0.06,0.66
psrchive.csv,0.11,0.18,0.09,0.4,0.52,0.0,0.18,0.43,0.0,0.19,0.37,0.63,0.22,0.2,0.5,0.13,0.51,0.0
rockbox.csv,0.11,0.64,0.48,0.1,0.0,0.92,0.39,0.0,0.14,0.49,0.05,0.23,0.2,0.27,0.0,0.31,0.09,0.75
theresa.csv,0.0,0.26,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.19,0.0,0.05,0.18,0.12,0.13,0.05,0.18,0.0
thrust.csv,0.0,0.05,0.09,0.0,0.0,0.0,0.09,0.05,0.21,0.06,0.0,0.07,0.02,0.24,0.2,0.0,0.04,0.13
tktoolkit.csv,0.11,0.09,0.0,0.0,0.0,0.0,0.02,0.0,0.21,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.06
trinitycore.csv,0.21,0.22,0.09,0.0,0.0,0.7,0.11,0.0,0.0,0.0,0.0,0.0,0.12,0.04,0.44,0.28,0.0,0.0
tzod.csv,0.4,0.59,0.59,0.71,0.24,0.55,0.02,0.16,0.14,0.48,0.11,0.47,0.35,0.24,0.57,0.21,0.44,0.0
yaprm.csv,0.59,0.51,0.45,0.0,0.0,0.37,0.0,0.11,0.43,0.63,0.0,0.0,0.0,0.5,0.0,0.37,0.0,0.41
zemljanka.csv,0.09,0.09,0.0,0.0,0.0,0.0,0.13,0.0,0.17,0.0,0.05,0.05,0.0,0.09,0.38,0.05,0.38,0.53
