,lazarus-ccr.csv,plee-the-bear.csv,badtrinity-zero.csv,fw4spl.csv,mia.csv,kftpgrabber.csv,kolmafia.csv
badtrinity-zero.csv,0.5,0.79,0.96,0.4,0.78,0.57,0.38
fw4spl.csv,0.29,0.64,0.44,0.88,0.56,0.6,0.23
kftpgrabber.csv,0.29,0.67,0.3,0.42,0.39,1.0,0.57
kolmafia.csv,0.5,0.76,0.58,0.62,0.67,0.67,1.0
lazarus-ccr.csv,1.0,0.82,0.65,0.33,0.5,0.63,0.62
mia.csv,0.5,0.45,0.23,0.17,0.89,0.27,0.21
plee-the-bear.csv,0.29,0.82,0.65,0.79,0.06,0.3,0.68
