,lazarus-ccr.csv,plee-the-bear.csv,badtrinity-zero.csv,fw4spl.csv,mia.csv,kftpgrabber.csv,kolmafia.csv
badtrinity-zero.csv,0.54,0.64,0.97,0.44,0.71,0.56,0.43
fw4spl.csv,0.33,0.59,0.44,0.9,0.58,0.56,0.26
kftpgrabber.csv,0.33,0.68,0.34,0.45,0.43,1.0,0.54
kolmafia.csv,0.52,0.69,0.6,0.62,0.54,0.69,1.0
lazarus-ccr.csv,1.0,0.34,0.43,0.35,0.28,0.47,0.56
mia.csv,0.45,0.5,0.26,0.2,0.91,0.32,0.24
plee-the-bear.csv,0.32,0.85,0.31,0.37,0.07,0.32,0.31
