,agilitybook.csv,apolloplayer.csv,opde.csv,ildjit.csv,jfreereport.csv,ifmo-game-1.csv,ppcboot.csv,openfrag.csv,super-tux.csv,auber.csv,synergyspace.csv,quark.csv,keyczar.csv,passwordsafe.csv,xtreemfs.csv,moast.csv,cortex-vfx.csv,growl-for-windows.csv,wikipediardware.csv
agilitybook.csv,0.97,0.62,0.92,0.62,0.79,0.59,0.67,0.73,0.78,0.8,0.66,0.39,0.59,0.56,0.98,0.8,0.78,0.58,0.79
apolloplayer.csv,0.53,0.78,0.82,0.48,0.77,0.6,0.61,0.73,0.66,0.71,0.6,0.47,0.73,0.58,0.48,0.76,0.63,0.61,0.46
auber.csv,0.68,0.56,0.55,0.89,0.56,0.47,0.88,0.5,0.47,0.52,0.53,0.83,0.64,0.79,0.46,0.0,0.62,0.56,0.64
cortex-vfx.csv,0.98,0.67,0.72,0.73,0.88,0.76,0.97,0.94,0.69,0.9,0.93,0.38,0.8,0.82,0.88,0.92,0.89,0.9,0.9
growl-for-windows.csv,0.56,0.49,0.51,0.45,0.54,0.47,0.56,0.52,0.47,0.52,0.56,0.4,0.51,0.52,0.37,0.4,0.52,0.57,0.6
ifmo-game-1.csv,0.0,0.0,0.0,0.67,0.99,0.86,0.89,0.0,0.8,0.94,0.75,0.92,0.5,0.8,0.91,0.96,0.96,0.93,0.5
ildjit.csv,0.83,0.0,0.88,0.89,0.99,0.86,0.94,0.67,0.67,0.75,0.9,0.88,0.8,0.86,0.94,0.67,0.95,0.93,0.8
jfreereport.csv,0.62,0.72,0.68,0.81,0.99,0.67,0.81,0.61,0.7,0.81,0.89,0.59,0.71,0.81,0.51,0.65,0.85,0.83,0.61
keyczar.csv,0.66,0.81,0.64,0.64,0.81,0.71,0.53,0.67,0.83,0.76,0.89,0.79,0.44,0.62,0.98,0.0,0.92,0.89,0.91
moast.csv,0.75,0.8,0.5,0.89,0.99,0.5,0.91,0.75,0.0,0.83,0.8,0.5,0.0,0.0,0.98,0.43,0.88,0.0,0.86
opde.csv,0.56,0.53,0.74,0.49,0.63,0.52,0.65,0.48,0.48,0.6,0.57,0.37,0.5,0.6,0.37,0.41,0.66,0.52,0.48
openfrag.csv,0.43,0.44,0.42,0.39,0.42,0.52,0.52,0.53,0.45,0.43,0.48,0.36,0.88,0.46,0.36,0.4,0.46,0.5,0.39
passwordsafe.csv,0.68,0.52,0.71,0.51,0.5,0.55,0.84,0.6,0.55,0.57,0.52,0.48,0.71,0.64,0.41,0.65,0.61,0.71,0.86
ppcboot.csv,0.52,0.65,0.61,0.58,0.49,0.57,0.77,0.62,0.52,0.51,0.61,0.46,0.87,0.63,0.45,0.41,0.65,0.71,0.47
quark.csv,0.96,0.88,0.0,0.0,0.98,0.5,0.0,0.0,0.88,0.92,0.0,0.85,0.0,0.95,0.92,0.86,0.94,0.0,0.0
super-tux.csv,0.4,0.44,0.37,0.4,0.41,0.45,0.57,0.43,0.44,0.4,0.4,0.44,0.43,0.43,0.31,0.41,0.42,0.36,0.42
synergyspace.csv,0.97,0.94,0.83,0.84,1.0,0.91,0.98,0.93,0.89,0.96,0.96,0.89,0.8,0.9,0.97,0.8,0.97,0.69,0.67
wikipediardware.csv,0.41,0.43,0.36,0.45,0.41,0.43,0.47,0.48,0.54,0.42,0.43,0.45,0.46,0.41,0.45,0.5,0.39,0.44,0.46
xtreemfs.csv,0.59,0.56,0.62,0.49,0.49,0.54,0.96,0.54,0.44,0.45,0.66,0.48,0.48,0.57,0.34,0.41,0.51,0.64,0.5
