,array4j.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,mediate.csv,tmva.csv,freedom-erp.csv,jgossipforum.csv,joustsim.csv,madman.csv,synecdoche.csv,emono.csv
array4j.csv,1.0,0.1,0.33,0.09,0.2,0.08,0.17,0.42,0.0,0.27,0.12,0.07,0.18
emono.csv,0.69,0.75,0.67,0.65,0.61,0.82,0.61,0.48,0.6,0.36,0.62,0.9,0.99
freedom-erp.csv,0.0,0.06,0.0,0.0,0.0,0.05,0.04,0.99,0.0,0.0,0.0,0.0,0.08
haggle.csv,0.25,0.23,0.33,0.65,0.99,0.21,0.46,0.0,0.2,0.64,0.62,0.34,0.36
jbpm.csv,0.0,0.94,0.0,0.09,0.2,0.05,0.0,0.12,0.0,0.0,0.0,0.17,0.05
jgossipforum.csv,0.0,0.0,0.33,0.04,0.03,0.03,0.01,0.0,1.0,0.0,0.0,0.07,0.04
joustsim.csv,0.19,0.08,0.33,0.17,0.32,0.05,0.16,0.07,0.4,0.91,0.75,0.55,0.5
log4net.csv,0.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
madman.csv,0.62,0.0,0.0,0.0,0.18,0.03,0.02,0.0,0.0,0.0,0.88,0.0,0.0
mediate.csv,0.5,0.46,1.0,0.52,0.42,0.97,0.52,0.55,0.8,0.55,0.75,0.45,0.56
pustefix.csv,0.5,0.5,0.67,1.0,0.11,0.26,0.18,0.56,0.8,0.45,0.25,0.14,0.32
synecdoche.csv,0.44,0.35,0.33,0.22,0.26,0.67,0.38,0.78,0.6,0.18,0.38,0.93,0.61
tmva.csv,0.44,0.48,1.0,0.22,0.43,0.67,1.0,0.9,0.6,0.55,0.88,0.72,0.6
