,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.55,0.55,0.65,0.68,0.68,0.74,1.16,0.51,0.62,0.96,0.58,0.73,0.78,0.47
crisscross.csv,0.97,1.0,0.39,0.89,1.0,0.76,0.98,0.83,1.02,1.0,0.68,0.96,0.88,0.9
gisgraphy.csv,0.81,1.0,0.75,0.88,1.0,1.0,1.02,0.82,0.91,0.83,0.91,0.84,0.99,0.34
glelite.csv,0.81,0.85,0.75,0.83,1.0,0.99,0.97,0.94,1.0,1.0,0.03,0.64,0.66,1.0
gnome-jabber.csv,0.62,0.87,0.66,0.66,0.81,0.82,0.63,0.79,0.5,0.45,0.45,0.67,0.72,0.48
ivataopenportal.csv,0.77,1.0,0.76,0.9,0.9,0.41,1.24,0.89,1.01,0.8,0.35,1.0,0.87,0.92
mb-unit.csv,0.97,0.81,0.69,0.52,1.0,0.99,0.85,0.63,0.62,1.0,1.0,0.61,0.62,0.96
mvdsv.csv,0.96,0.77,1.0,0.93,0.03,0.99,1.0,0.92,0.82,0.96,0.93,0.92,0.98,0.73
nova.csv,0.78,0.29,0.71,0.7,1.21,0.79,0.68,0.74,0.7,0.65,1.05,0.75,0.68,0.76
olex2.csv,0.72,0.51,0.56,0.58,0.49,0.97,1.03,0.68,0.44,0.72,0.67,0.37,0.86,0.94
openwbem.csv,0.51,0.85,0.65,0.65,0.45,0.83,0.39,0.78,0.57,0.72,0.66,0.6,0.91,0.63
tencompetence.csv,0.83,0.93,0.82,0.7,1.04,0.93,0.47,0.83,0.83,0.86,1.1,0.9,0.34,0.92
xcmetadataservicestoolkit.csv,0.75,1.0,0.92,0.62,0.79,0.89,0.42,0.67,0.46,1.0,0.24,0.62,0.48,0.94
