,openwbem.csv,nova.csv,crisscross.csv,mb-unit.csv,mvdsv.csv,ivataopenportal.csv,elynx.csv,cascading.csv,xcmetadataservicestoolkit.csv,gnome-jabber.csv,glelite.csv,olex2.csv,tencompetence.csv,gisgraphy.csv
cascading.csv,0.55,0.42,0.33,0.82,0.22,0.39,0.0,0.76,0.63,0.08,0.69,0.58,0.36,0.59
crisscross.csv,0.51,0.37,0.51,0.86,0.16,0.59,0.03,0.83,0.74,0.97,0.48,0.64,0.78,0.51
gisgraphy.csv,0.28,0.0,0.24,0.23,0.0,0.0,0.0,0.32,0.24,0.3,0.16,0.56,0.05,0.67
glelite.csv,0.52,0.25,0.33,0.9,0.16,0.68,0.03,0.88,0.84,0.96,0.98,0.6,0.82,0.38
gnome-jabber.csv,0.47,0.24,0.29,0.75,0.19,0.67,0.05,0.74,0.76,0.74,0.82,0.46,0.57,0.6
ivataopenportal.csv,0.54,0.37,0.33,0.9,0.17,0.71,0.0,0.83,0.78,0.97,0.94,0.63,0.55,0.48
mb-unit.csv,0.52,0.22,0.28,0.78,0.16,0.68,0.04,0.82,0.82,0.97,0.98,0.63,0.59,0.39
mvdsv.csv,0.07,0.25,0.0,0.12,0.86,0.02,0.0,0.16,0.3,0.08,0.12,0.15,0.05,0.41
nova.csv,0.46,0.63,0.27,0.67,0.0,0.51,0.05,0.45,0.46,0.83,0.8,0.54,0.54,0.32
olex2.csv,0.51,0.47,0.35,0.69,0.24,0.66,0.0,0.57,0.74,0.46,0.94,0.72,0.25,0.19
openwbem.csv,0.56,0.21,0.33,0.6,0.28,0.53,0.08,0.37,0.62,0.46,0.51,0.57,0.17,0.44
tencompetence.csv,0.26,0.11,0.18,0.68,0.0,0.55,0.07,0.31,0.52,0.54,0.7,0.17,0.83,0.17
xcmetadataservicestoolkit.csv,0.34,0.0,0.28,0.6,0.19,0.65,0.07,0.66,0.81,0.97,0.86,0.5,0.77,0.31
