,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.25,0.54,0.99,0.17,0.78,0.44,0.69,0.19,0.42,0.81
pclasses.csv,0.95,0.22,0.0,0.43,0.16,0.0,0.29,0.07,0.03,0.32
pfaedit.csv,0.13,0.57,0.21,0.08,0.99,0.4,0.51,0.3,0.35,0.54
theresa.csv,0.0,0.07,0.0,0.86,0.04,0.0,0.1,0.0,0.0,0.05
thrust.csv,0.0,0.15,0.44,0.0,0.58,0.87,0.14,0.24,0.25,0.58
tktoolkit.csv,0.15,0.11,0.05,0.0,0.23,0.43,0.13,0.9,0.19,0.23
trinitycore.csv,0.32,0.4,0.0,0.29,0.63,0.0,0.13,0.08,0.96,0.02
tzod.csv,0.27,0.98,0.59,0.32,0.71,0.11,0.35,0.26,0.34,0.68
yaprm.csv,0.2,0.41,0.05,0.12,0.52,0.37,0.99,0.08,0.31,0.24
zemljanka.csv,0.28,0.51,0.73,0.11,0.76,0.44,0.66,0.22,0.39,1.0
