,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.16,0.45,0.98,0.09,0.71,0.38,0.56,0.11,0.29,0.97
pclasses.csv,1.0,0.4,0.0,0.27,0.71,0.0,0.64,0.25,0.17,0.98
pfaedit.csv,0.2,0.55,0.71,0.04,1.0,0.62,0.49,0.19,0.28,0.94
theresa.csv,0.0,1.0,0.0,0.75,1.0,0.0,1.0,0.0,0.0,1.0
thrust.csv,0.0,0.25,0.61,0.0,0.61,0.93,0.43,0.19,0.23,0.94
tktoolkit.csv,0.11,0.18,1.0,0.0,0.39,0.34,0.38,1.0,0.29,0.93
trinitycore.csv,0.38,0.43,0.0,0.18,0.69,0.0,0.38,0.5,1.0,1.0
tzod.csv,0.27,1.0,0.54,0.19,0.72,1.0,0.44,0.17,0.33,0.96
yaprm.csv,0.16,0.36,0.33,0.08,0.6,0.27,1.0,0.08,0.25,0.97
zemljanka.csv,0.16,0.35,0.58,0.06,0.61,0.28,0.49,0.12,0.25,1.0
