,bacula.csv,fltk.csv,pfaedit.csv,patterntesting.csv,gzigzag.csv,enlightenment.csv,blue-c.csv,aufs.csv,sylpheed-claws.csv,ogrehg.csv,genecys.csv,freewrl.csv,roller.csv,pgui.csv,jparsec.csv,xbg.csv,lportal.csv,genoviz.csv
aufs.csv,0.7,0.64,0.74,0.45,0.59,0.59,0.62,0.08,0.6,0.66,0.62,0.68,0.52,0.6,0.57,0.64,0.44,0.61
bacula.csv,0.03,0.65,0.54,0.66,0.75,0.64,0.64,0.66,0.59,0.57,0.47,0.69,0.73,0.62,0.91,0.62,0.62,0.82
blue-c.csv,0.59,0.57,0.77,0.8,0.62,0.56,0.03,0.59,0.65,0.57,0.42,0.62,0.52,0.45,0.78,0.76,0.54,0.61
enlightenment.csv,0.67,0.54,0.62,0.67,0.6,0.05,0.39,0.5,0.53,0.62,0.39,0.7,0.64,0.64,0.67,0.84,0.71,0.67
fltk.csv,0.54,0.13,0.64,0.63,0.59,0.63,0.72,0.71,0.58,0.52,0.51,0.86,0.63,0.52,0.66,0.52,0.69,0.61
freewrl.csv,0.62,0.58,0.77,0.68,0.65,0.68,0.43,0.52,0.66,0.6,0.43,0.07,0.54,0.67,0.57,0.61,0.58,0.78
genecys.csv,0.8,0.96,0.7,0.95,0.77,0.72,0.52,0.68,0.81,0.98,0.02,0.58,0.96,0.9,0.99,0.72,0.99,0.93
genoviz.csv,0.82,0.85,0.59,0.93,0.9,0.9,1.0,0.87,0.85,0.83,0.67,0.96,0.85,0.84,0.98,1.0,0.85,0.0
gzigzag.csv,0.89,0.63,0.93,0.83,0.07,0.74,0.93,0.73,0.94,0.79,0.64,0.93,0.81,0.81,0.7,0.82,0.95,0.82
jparsec.csv,0.59,0.79,0.87,0.51,0.61,0.93,0.44,0.84,0.56,0.64,0.76,0.97,0.78,0.77,0.11,0.45,0.56,0.87
lportal.csv,0.9,0.84,0.79,0.93,0.8,0.85,0.92,1.01,0.91,0.86,0.98,0.8,0.92,0.92,0.98,1.04,0.14,0.76
ogrehg.csv,0.63,0.59,0.79,0.83,0.6,0.64,0.93,0.69,0.7,0.11,0.67,0.66,0.43,0.67,0.78,0.92,0.6,0.53
patterntesting.csv,0.61,0.55,0.68,0.05,0.63,0.53,0.45,0.55,0.64,0.59,0.54,0.72,0.47,0.43,0.67,0.56,0.52,0.49
pfaedit.csv,0.58,0.76,0.0,0.44,0.55,0.66,0.63,0.49,0.65,0.59,0.65,0.75,0.49,0.56,0.79,0.63,0.54,0.56
pgui.csv,0.61,0.69,0.65,0.83,0.73,0.63,0.8,0.68,0.75,0.66,0.78,0.61,0.65,0.04,0.76,0.83,0.62,0.68
roller.csv,0.72,0.6,0.84,0.48,0.57,0.76,0.51,0.6,0.65,0.66,0.68,0.96,0.0,0.63,0.69,0.55,0.49,0.74
sylpheed-claws.csv,0.58,0.63,0.44,0.67,0.51,0.57,0.58,0.62,0.04,0.58,0.43,0.77,0.59,0.6,0.75,0.71,0.52,0.41
xbg.csv,0.97,0.99,0.93,0.95,1.0,0.96,1.0,0.9,0.95,0.89,0.73,0.89,0.96,0.96,0.93,0.25,0.93,0.81
