,olap-navigator.csv,sepgsql.csv,phonon-vlc-mplayer.csv,arcallians.csv,gretl.csv,fceugc.csv,unflobtactical.csv,autat.csv,jasperreports.csv,fido.csv,passwordsafe.csv,moast.csv,biopax.csv,exl.csv,ng4j.csv,jmule.csv
arcallians.csv,0.88,0.2,0.48,0.73,0.91,0.38,0.74,0.18,0.08,0.05,0.62,0.91,0.79,0.82,0.36,0.75
autat.csv,0.92,0.0,0.71,0.0,0.92,0.58,0.9,0.43,0.1,0.03,0.77,0.62,0.92,0.84,0.46,0.0
biopax.csv,0.87,0.05,0.31,0.55,0.87,0.43,0.65,0.2,0.05,0.04,0.41,0.9,0.96,0.79,0.27,0.44
exl.csv,0.72,0.06,0.14,0.53,0.91,0.35,0.58,0.19,0.07,0.05,0.37,0.91,0.78,0.89,0.28,0.45
fceugc.csv,0.88,0.08,0.27,0.56,0.92,0.56,0.73,0.21,0.02,0.04,0.42,0.86,0.88,0.94,0.16,0.33
fido.csv,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09,0.24,0.67,0.0,0.95,0.0,0.6,0.6
gretl.csv,0.72,0.06,0.37,0.65,0.9,0.29,0.56,0.22,0.1,0.03,0.46,0.96,0.81,0.81,0.35,0.6
jasperreports.csv,0.65,0.1,0.2,0.52,0.84,0.27,0.53,0.17,0.27,0.05,0.34,0.89,0.56,0.79,0.22,0.45
jmule.csv,0.93,0.06,0.57,0.62,0.91,0.44,0.68,0.24,0.14,0.06,0.51,0.93,0.94,0.86,0.52,0.81
moast.csv,0.62,0.05,0.32,0.52,0.83,0.0,0.57,0.19,0.06,0.04,0.31,1.0,0.85,0.0,0.25,0.5
ng4j.csv,0.91,0.04,0.59,0.63,0.86,0.52,0.74,0.19,0.1,0.08,0.44,0.86,1.0,0.93,0.61,0.89
olap-navigator.csv,0.98,0.09,0.63,0.59,0.91,0.53,0.77,0.22,0.15,0.03,0.46,0.91,1.0,0.86,0.31,0.49
passwordsafe.csv,0.92,0.06,0.54,0.72,0.9,0.34,0.75,0.21,0.07,0.07,0.65,0.94,0.92,0.82,0.43,0.0
phonon-vlc-mplayer.csv,0.97,0.09,0.63,0.8,0.93,0.45,0.77,0.23,0.09,0.07,0.66,0.97,1.0,0.82,0.41,1.0
sepgsql.csv,0.97,0.11,0.72,0.85,0.94,0.5,0.88,0.25,0.2,0.06,0.7,0.97,0.94,0.87,0.52,1.0
unflobtactical.csv,0.79,0.12,0.64,0.67,0.91,0.39,0.74,0.19,0.04,0.03,0.52,0.91,0.89,0.81,0.31,0.12
