,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.44,0.24,0.3,0.52,0.36,0.18,0.23,0.32,0.34,0.29,0.45,0.25,0.36
biopax.csv,0.52,0.35,0.37,0.52,0.27,0.41,0.38,0.4,0.31,0.39,0.42,0.35,0.41
gdis.csv,0.42,0.33,0.17,0.34,0.35,0.24,0.17,0.3,0.29,0.38,0.41,0.3,0.36
kml.csv,0.26,0.35,0.36,0.24,0.17,0.38,0.38,0.4,0.23,0.38,0.42,0.35,0.42
ppcboot.csv,0.52,0.33,0.41,0.48,0.36,0.41,0.38,0.37,0.36,0.39,0.48,0.35,0.42
repositorium.csv,0.52,0.35,0.41,0.57,0.36,0.37,0.39,0.32,0.36,0.28,0.43,0.34,0.4
rsyslog.csv,0.26,0.34,0.32,0.41,0.21,0.39,0.35,0.38,0.2,0.39,0.38,0.35,0.41
simplewebservices.csv,0.48,0.34,0.34,0.56,0.35,0.39,0.32,0.22,0.33,0.38,0.31,0.22,0.22
ultimairis.csv,0.36,0.35,0.29,0.3,0.19,0.24,0.21,0.35,0.23,0.28,0.19,0.33,0.33
wow-qrsk.csv,0.52,0.2,0.14,0.57,0.36,0.41,0.39,0.33,0.36,0.17,0.48,0.31,0.16
wxstudio.csv,0.42,0.17,0.39,0.55,0.29,0.29,0.36,0.35,0.29,0.37,0.21,0.32,0.19
xbg.csv,0.5,0.33,0.36,0.56,0.33,0.39,0.37,0.37,0.34,0.33,0.4,0.27,0.16
xqilla.csv,0.46,0.24,0.23,0.57,0.33,0.26,0.18,0.37,0.24,0.39,0.14,0.34,0.4
