,rsyslog.csv,acegisecurity.csv,wow-qrsk.csv,ppcboot.csv,kml.csv,repositorium.csv,ultimairis.csv,xbg.csv,gdis.csv,xqilla.csv,wxstudio.csv,simplewebservices.csv,biopax.csv
acegisecurity.csv,0.13,0.43,0.17,0.23,0.05,0.4,0.42,0.0,0.1,0.0,0.0,0.4,0.16
biopax.csv,0.68,0.43,0.34,0.67,0.68,0.2,0.48,0.23,0.9,0.05,0.56,0.59,0.89
gdis.csv,0.66,0.39,0.56,0.62,0.69,0.35,0.41,0.2,0.94,0.0,0.51,0.49,0.82
kml.csv,0.64,0.44,0.35,0.51,0.75,0.19,0.47,0.23,0.8,0.05,0.57,0.59,0.88
ppcboot.csv,0.69,0.45,0.35,0.64,0.66,0.19,0.51,0.24,0.88,0.05,0.59,0.59,0.88
repositorium.csv,0.0,0.0,0.0,0.0,0.0,0.44,0.0,0.12,0.0,0.07,0.09,0.3,0.15
rsyslog.csv,0.73,0.44,0.37,0.68,0.46,0.22,0.47,0.2,0.74,0.05,0.5,0.59,0.82
simplewebservices.csv,0.66,0.41,0.39,0.66,0.59,0.12,0.46,0.32,0.89,0.0,0.52,0.55,0.56
ultimairis.csv,0.71,0.41,0.39,0.57,0.62,0.04,0.66,0.26,0.67,0.0,0.29,0.57,0.67
wow-qrsk.csv,0.0,0.46,0.63,0.0,0.0,0.0,0.0,0.2,0.0,0.15,0.0,0.12,0.42
wxstudio.csv,0.59,0.23,0.14,0.65,0.42,0.23,0.36,0.0,0.55,0.0,0.61,0.06,0.23
xbg.csv,0.63,0.04,0.13,0.63,0.3,0.17,0.35,0.2,0.51,0.0,0.37,0.57,0.19
xqilla.csv,0.07,0.3,0.36,0.03,0.1,0.09,0.31,0.0,0.15,0.0,0.44,0.09,0.13
