,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.43,0.88,1.03,0.84,0.73,0.38,0.91,0.87,0.92,1.11,0.76,0.71,0.77,0.36,1.02,1.02,0.87,0.76
bionote.csv,0.42,1.0,1.0,0.92,0.75,0.85,0.72,0.61,0.99,0.98,0.94,0.57,0.21,0.55,0.91,0.88,0.89,0.7
buddata-ebxml-registry.csv,1.0,0.97,0.85,1.0,0.95,0.97,0.96,0.97,1.0,0.88,0.97,0.96,0.77,0.96,0.5,1.0,0.09,0.88
bullet.csv,0.54,0.72,0.67,1.04,0.38,0.47,0.64,0.73,0.68,0.94,0.93,0.7,0.95,0.78,0.65,0.66,0.66,0.66
bulmages.csv,1.0,1.0,1.02,1.0,0.72,0.54,1.0,0.5,0.96,0.9,0.89,0.73,1.0,0.51,0.93,0.9,1.02,0.78
bwapi.csv,1.0,0.76,0.81,0.61,1.0,1.01,0.99,0.94,0.81,0.75,0.31,0.98,0.98,0.98,1.0,1.0,1.05,1.0
cubefs.csv,1.0,0.97,0.9,0.89,0.68,0.83,1.0,0.91,0.45,0.89,0.84,0.83,0.86,0.81,0.51,0.69,0.57,0.94
emisview.csv,1.0,0.93,0.7,0.38,0.93,0.84,1.0,1.0,0.89,1.01,0.99,0.71,0.49,1.0,0.85,0.88,0.73,0.97
java-gnome.csv,0.79,0.75,0.85,0.63,0.81,0.88,1.0,0.94,0.65,0.27,0.93,0.76,0.55,0.84,0.62,0.69,0.64,0.91
jgameai.csv,0.97,0.48,0.91,0.92,0.92,0.92,0.75,0.87,0.95,0.96,0.84,0.94,0.89,0.94,0.92,0.91,0.99,0.92
megasquirtavr.csv,1.0,0.92,0.51,1.0,0.81,0.84,1.0,0.8,1.0,1.0,0.84,0.88,0.96,0.76,1.0,1.0,1.01,0.92
mp-rechnungs-und-kundenverwaltung.csv,0.52,0.89,0.69,0.86,0.69,1.0,0.78,0.61,0.7,0.56,0.92,0.6,0.51,0.59,0.64,0.67,0.85,0.59
mptvseries.csv,0.49,0.86,0.7,0.64,0.8,0.39,0.58,0.67,0.65,0.96,0.84,0.65,0.52,0.63,0.98,0.45,0.82,0.68
oorexx.csv,0.85,0.83,0.97,0.68,0.53,0.85,0.96,0.62,0.9,0.95,0.92,0.8,0.76,0.68,0.85,0.57,0.7,0.45
somap.csv,0.69,0.87,0.97,0.72,1.0,0.99,0.99,0.97,0.69,1.0,0.92,0.87,0.85,0.97,0.19,0.34,1.02,1.0
tktoolkit.csv,0.91,0.87,0.67,0.93,0.47,0.7,0.5,0.87,0.96,0.64,0.77,0.69,0.96,0.56,0.67,0.6,0.69,0.54
xharbour.csv,0.24,0.91,0.77,0.83,0.7,0.6,0.62,0.81,1.0,0.66,0.91,0.71,0.63,0.9,1.0,1.0,0.76,0.83
