,xharbour.csv,jgameai.csv,megasquirtavr.csv,emisview.csv,bullet.csv,mptvseries.csv,tktoolkit.csv,bulmages.csv,cubefs.csv,java-gnome.csv,bwapi.csv,mp-rechnungs-und-kundenverwaltung.csv,bionote.csv,adobe-source.csv,somap.csv,duplicati.csv,buddata-ebxml-registry.csv,oorexx.csv
adobe-source.csv,0.91,0.18,0.17,0.22,0.77,0.8,0.33,0.18,0.68,0.52,0.78,0.32,0.12,0.45,0.91,0.98,0.93,0.56
bionote.csv,0.96,0.0,0.0,0.33,0.76,0.5,0.12,0.36,1.0,0.5,1.0,0.4,0.44,0.41,0.85,1.0,0.91,0.61
buddata-ebxml-registry.csv,0.82,0.29,0.23,0.3,0.77,0.39,0.13,0.2,0.69,0.8,0.77,0.32,0.17,0.18,0.96,0.98,1.0,0.61
bullet.csv,0.92,0.3,0.37,0.18,0.89,0.54,0.17,0.2,0.73,0.78,0.76,0.33,0.09,0.17,0.93,1.0,0.96,0.63
bulmages.csv,0.0,0.0,0.18,0.0,0.9,0.56,0.0,0.31,0.75,0.75,0.93,0.41,0.0,0.28,1.0,1.0,0.5,0.61
bwapi.csv,0.82,0.32,0.24,0.36,0.76,0.35,0.13,0.22,0.7,0.83,0.92,0.32,0.14,0.19,0.92,0.98,0.92,0.59
cubefs.csv,0.82,0.29,1.0,0.28,0.78,0.29,0.13,0.11,0.82,0.78,0.69,0.29,0.14,0.23,0.96,1.0,0.96,0.33
emisview.csv,0.0,0.29,0.28,0.53,0.71,0.31,0.0,0.0,0.61,0.0,1.0,0.35,0.24,0.0,1.0,1.0,0.95,1.0
java-gnome.csv,0.9,0.27,1.0,0.35,0.78,0.25,0.12,0.09,0.96,0.94,0.75,0.32,0.19,0.31,0.97,1.0,1.0,0.44
jgameai.csv,1.0,0.47,0.22,0.29,0.58,0.22,0.12,0.13,1.0,1.0,0.79,0.3,0.12,0.17,0.88,1.0,1.0,0.5
megasquirtavr.csv,0.82,0.29,0.62,0.3,0.78,0.41,0.13,0.22,0.69,0.78,0.8,0.32,0.14,0.19,0.92,0.98,0.94,0.6
mp-rechnungs-und-kundenverwaltung.csv,0.89,0.3,0.23,0.24,0.78,0.0,0.14,0.36,0.7,0.84,0.91,0.4,0.21,0.3,1.0,1.0,1.0,0.76
mptvseries.csv,1.0,0.29,0.55,0.47,0.82,0.65,0.18,0.23,0.73,1.0,0.72,0.35,0.33,0.23,0.79,1.0,1.0,0.68
oorexx.csv,1.0,0.22,0.2,0.36,0.89,0.5,0.2,0.25,0.67,0.57,0.73,0.29,0.22,0.2,0.92,1.0,1.0,0.74
somap.csv,0.84,0.29,0.21,0.36,0.75,0.21,0.13,0.21,0.71,0.77,0.78,0.33,0.12,0.18,1.0,1.0,0.93,0.58
tktoolkit.csv,0.89,0.2,0.27,0.27,0.87,0.41,0.35,0.13,0.66,0.81,0.75,0.33,0.14,0.25,0.96,1.0,0.96,0.69
xharbour.csv,0.99,0.3,0.25,0.31,0.77,0.47,0.16,0.21,0.69,0.83,0.73,0.35,0.18,0.19,0.92,0.98,0.95,0.58
