,joustsim.csv,gpsmid.csv,psycle.csv,uface.csv,n2cms.csv,rebecca-aiml.csv,magicwars.csv,turbotrader-bos.csv,xmemcached.csv
gpsmid.csv,0.73,0.84,0.62,0.75,0.56,0.87,0.47,0.91,0.87
joustsim.csv,0.91,0.43,0.64,0.16,0.9,0.81,0.38,0.65,0.48
magicwars.csv,1.0,0.94,1.0,0.97,1.0,1.0,0.66,0.97,0.83
n2cms.csv,1.0,0.69,0.47,0.68,0.73,0.43,0.65,0.78,0.57
psycle.csv,0.82,0.94,0.6,0.81,0.77,0.69,0.73,0.87,0.83
rebecca-aiml.csv,0.91,0.57,0.49,0.69,0.79,0.89,0.82,0.58,0.91
turbotrader-bos.csv,1.0,0.49,0.46,0.6,0.27,0.56,0.28,0.7,0.65
uface.csv,0.91,0.82,0.87,0.94,0.73,0.91,0.92,0.87,0.91
xmemcached.csv,0.64,0.69,0.6,0.79,0.65,0.65,0.86,0.96,0.78
