,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv
adonthell.csv,0.14,0.85,0.98,0.76,0.6,0.62,0.18,0.54,0.25,0.75,0.2,0.16,0.55,1.0,0.57,0.92,0.85,1.0,0.85,0.12
autofac.csv,0.45,0.81,0.18,0.76,0.27,0.43,0.59,0.68,0.3,0.62,0.5,0.64,0.43,1.0,0.57,0.62,0.52,0.53,0.59,0.75
avisynth2.csv,0.21,0.27,0.2,0.14,0.0,0.03,0.12,0.03,0.1,0.0,0.0,0.25,0.15,1.0,0.0,0.04,0.12,0.47,0.01,0.0
azureus.csv,0.69,0.88,0.72,0.72,0.43,0.66,0.94,0.81,0.45,1.0,0.3,0.79,0.82,1.0,0.86,0.92,0.86,0.71,0.63,0.75
coot.csv,0.79,0.12,0.0,0.14,0.3,0.54,0.94,0.57,0.75,0.88,0.6,0.73,0.45,0.0,0.86,0.15,0.21,0.0,0.59,0.68
dsworkbench.csv,0.28,0.81,0.82,0.14,0.05,0.05,0.06,0.16,0.35,0.12,0.1,0.2,0.18,0.0,0.14,0.54,0.24,0.29,0.07,0.08
forester-atv.csv,0.56,0.81,0.48,0.31,0.17,0.35,0.29,0.14,0.8,0.25,0.4,0.75,0.7,0.67,0.29,0.19,0.24,0.65,0.11,0.42
freelords.csv,0.81,1.0,0.84,0.76,0.53,0.7,0.76,0.78,0.85,1.0,0.8,1.0,0.42,1.0,0.71,0.81,0.91,0.65,0.75,0.8
gabel.csv,0.01,0.46,0.56,0.45,0.18,0.24,0.65,0.38,0.4,0.88,0.7,0.41,0.8,0.33,0.29,0.38,0.56,0.12,0.18,0.02
geotools.csv,0.75,0.85,0.74,0.59,0.85,0.44,0.53,0.65,0.6,0.75,0.6,0.91,0.98,0.67,0.43,0.81,0.59,0.94,0.94,0.78
gephex.csv,0.22,0.35,0.98,0.9,0.9,0.72,0.71,0.81,0.5,0.62,0.3,0.32,0.88,0.0,0.86,1.0,0.86,0.82,0.7,0.88
google-collections.csv,0.81,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,1.0,0.97,1.0,1.0,1.0,1.0,1.0,1.0,1.0
jpaul.csv,0.35,0.54,0.3,0.21,0.0,0.06,0.88,0.14,0.4,0.25,0.4,0.36,0.08,0.0,0.29,0.46,0.27,0.41,0.0,0.0
mycila.csv,0.9,0.23,0.9,0.9,1.0,0.13,0.47,0.41,0.8,1.0,0.8,0.68,0.7,1.0,0.71,0.62,0.68,0.35,0.83,0.57
neodatis-odb.csv,0.57,0.62,0.28,0.52,0.15,0.14,0.47,0.68,0.3,0.38,0.4,0.48,0.18,0.67,0.43,0.15,0.26,0.06,0.52,0.52
octet.csv,0.51,0.5,0.46,0.66,0.35,0.25,0.29,0.38,0.25,0.38,0.3,0.38,0.53,1.0,0.86,0.85,0.52,0.12,0.69,0.62
pokenetonline.csv,0.19,0.92,1.0,0.55,0.53,0.61,0.53,0.78,0.7,0.75,0.7,0.95,0.7,0.67,0.86,0.88,0.86,0.82,0.68,0.75
scenemonitor.csv,0.38,0.77,0.68,0.52,0.38,0.63,0.65,0.51,0.8,0.88,0.2,0.73,0.22,1.0,0.29,0.73,0.69,0.47,0.32,0.62
servicestack.csv,0.04,0.54,0.16,0.14,0.0,0.04,0.06,0.19,0.05,0.0,0.1,0.12,0.15,0.67,0.14,0.15,0.09,0.76,0.0,0.0
twostep.csv,0.02,0.96,0.76,0.9,0.42,0.43,0.76,0.73,0.9,1.0,1.0,0.79,0.83,0.67,0.57,0.92,0.76,0.82,0.58,0.62
