,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,pokenetonline.csv,avisynth2.csv,octet.csv,twostep.csv,geotools.csv,servicestack.csv,gephex.csv,coot.csv
adonthell.csv,1.0,0.42,0.77,0.46,0.73,0.83,0.21,0.27,0.56,0.14,0.12,0.47,0.92,0.05,0.24,0.43,0.37,0.33,0.65,0.36
autofac.csv,0.97,0.39,0.9,0.88,0.64,0.74,0.42,0.32,0.67,0.1,0.14,0.26,0.79,0.07,0.17,0.73,0.26,0.69,0.64,0.64
avisynth2.csv,1.0,0.5,0.83,0.5,0.0,1.0,0.5,0.33,0.67,0.0,0.0,0.25,0.75,0.6,0.0,0.5,0.42,0.53,0.33,0.0
azureus.csv,1.0,0.41,0.73,0.47,0.55,0.81,0.31,0.34,0.64,0.12,0.11,0.56,0.8,0.05,0.13,0.37,0.34,0.3,0.62,0.61
coot.csv,0.97,0.18,0.0,0.57,0.53,0.69,0.3,0.33,0.38,0.1,0.17,0.25,0.57,0.0,0.11,0.12,0.14,0.0,0.63,0.69
dsworkbench.csv,1.0,0.68,0.93,0.5,1.0,0.8,0.2,0.4,0.58,0.2,0.33,0.21,0.92,0.0,0.33,0.5,0.32,0.71,0.83,0.33
forester-atv.csv,0.98,0.6,0.75,0.5,0.67,0.72,0.33,0.83,0.44,0.13,0.22,0.26,0.7,0.08,0.33,0.42,0.25,0.42,0.47,0.61
freelords.csv,0.98,0.4,0.84,0.52,0.55,0.77,0.42,0.34,0.42,0.12,0.2,0.28,0.81,0.06,0.21,0.5,0.3,0.44,0.61,0.59
gabel.csv,1.0,0.5,0.78,0.81,0.69,0.86,0.58,0.27,0.67,0.25,0.37,0.42,0.75,0.06,0.25,0.59,0.34,0.67,0.62,1.0
geotools.csv,0.98,0.46,0.77,0.55,0.55,0.8,0.36,0.31,0.5,0.09,0.23,0.28,0.71,0.05,0.19,0.5,0.44,0.31,0.64,0.51
gephex.csv,1.0,0.28,0.77,0.48,0.6,0.79,0.32,0.35,0.4,0.07,0.12,0.34,0.69,0.0,0.12,0.37,0.35,0.3,0.76,0.53
google-collections.csv,1.0,0.39,0.76,0.47,0.56,0.74,0.29,0.35,0.39,0.08,0.19,0.27,0.73,0.05,0.12,0.37,0.29,0.27,0.63,0.52
jpaul.csv,1.0,0.5,0.68,0.6,0.0,1.0,0.5,0.25,0.47,0.12,0.22,0.37,0.56,0.0,0.14,0.55,0.21,0.78,0.0,0.0
mycila.csv,0.97,0.43,0.79,0.48,0.56,0.77,0.24,0.31,0.35,0.09,0.5,0.32,0.72,0.07,0.13,0.28,0.33,0.19,0.61,0.59
neodatis-odb.csv,0.96,0.33,0.82,0.56,0.64,0.69,0.22,0.57,0.55,0.05,0.5,0.44,0.73,0.05,0.12,0.4,0.24,0.33,0.67,0.72
octet.csv,1.0,0.36,0.77,0.46,0.66,0.8,0.19,0.44,0.56,0.1,0.14,0.28,0.89,0.05,0.43,0.43,0.4,0.29,0.67,0.53
pokenetonline.csv,1.0,0.41,0.77,0.48,0.6,0.83,0.38,0.35,0.52,0.1,0.21,0.27,0.93,0.04,0.26,0.62,0.34,0.44,0.7,0.53
scenemonitor.csv,1.0,0.43,0.81,0.54,0.57,0.88,0.48,0.33,0.7,0.16,0.09,0.46,0.76,0.17,0.13,0.41,0.31,0.32,0.64,0.62
servicestack.csv,1.0,0.61,0.62,0.8,0.0,0.5,0.5,0.47,0.5,0.0,0.17,0.39,1.0,0.15,0.5,1.0,0.44,0.59,0.0,0.0
twostep.csv,1.0,0.49,0.78,0.49,0.69,0.83,0.5,0.33,0.44,0.15,0.24,0.34,0.77,0.04,0.21,0.73,0.34,0.45,0.62,0.68
