,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.57,0.17,0.32,0.21,0.61,0.72,0.51,0.31,0.33,0.57,0.65,0.21,0.5
echongl.csv,0.28,0.14,0.75,0.42,0.21,0.58,0.59,0.69,0.22,0.08,0.96,0.62,0.0
les-indemodables.csv,0.46,0.18,0.52,0.81,0.18,0.79,0.54,0.38,0.39,0.37,0.21,0.16,0.14
mbse.csv,0.23,0.17,0.4,0.27,0.84,0.62,0.58,0.08,0.37,0.26,0.49,0.34,0.07
ns-3-dev-def-routing.csv,0.43,0.2,0.69,0.99,0.21,0.32,0.36,1.0,0.37,0.66,0.04,0.63,0.86
psycle.csv,0.48,0.28,0.7,0.91,0.92,0.72,0.73,0.54,0.49,0.86,0.89,0.41,0.29
qpe.csv,0.26,0.1,0.4,0.75,0.08,0.34,0.56,0.31,0.29,0.31,0.86,0.2,0.0
simplewebservices.csv,0.75,0.68,0.63,0.98,0.89,0.72,0.72,0.15,0.53,1.0,0.35,0.47,0.93
v8.csv,0.51,0.71,0.4,0.79,1.0,0.5,0.73,0.15,0.55,0.83,0.82,0.43,0.71
wikipediardware.csv,0.44,0.3,0.88,0.96,0.97,1.0,0.86,0.38,0.53,0.86,1.0,0.83,0.14
wxstudio.csv,0.27,0.11,0.21,0.14,0.34,0.53,0.18,0.15,0.22,0.15,0.01,0.22,0.86
xamj.csv,0.4,0.41,0.2,0.83,0.39,0.72,0.72,0.31,0.35,0.31,0.53,0.21,0.21
