,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.51,0.75,0.52,0.74,0.37,0.4,0.53,0.47,0.52,0.56,0.42,0.6,0.65
echongl.csv,0.61,0.54,0.46,0.47,0.36,0.62,0.51,0.49,0.48,0.92,0.37,0.76,0.83
les-indemodables.csv,0.51,0.53,0.42,0.38,0.42,0.39,0.39,0.48,0.44,0.52,0.76,0.71,0.61
mbse.csv,0.58,0.58,0.54,0.52,0.44,0.39,0.52,0.71,0.38,0.73,0.43,0.55,0.75
ns-3-dev-def-routing.csv,0.59,0.7,0.43,0.36,0.41,0.71,0.54,0.48,0.67,0.53,0.95,0.53,0.4
psycle.csv,0.48,0.47,0.37,0.36,0.32,0.35,0.43,0.42,0.39,0.48,0.36,0.48,0.48
qpe.csv,0.57,0.55,0.48,0.36,0.4,0.53,0.56,0.43,0.41,0.87,0.37,0.54,0.57
simplewebservices.csv,0.56,0.65,0.41,0.37,0.58,0.35,0.54,0.75,0.48,0.48,0.45,0.49,0.47
v8.csv,0.68,0.76,0.65,0.42,0.29,0.63,0.53,0.49,0.54,0.67,0.4,0.83,0.49
wikipediardware.csv,0.47,0.44,0.35,0.36,0.3,0.36,0.4,0.4,0.39,0.5,0.35,0.46,0.47
wxstudio.csv,0.87,0.97,0.79,0.97,0.96,0.43,0.9,0.89,0.47,0.92,0.67,0.6,0.57
xamj.csv,0.45,0.41,0.81,0.35,0.4,0.38,0.42,0.51,0.36,0.63,0.56,0.51,0.53
