,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.68,0.34,0.63,0.5,0.62,0.66,0.61,0.74,0.44,0.67,0.6,0.54,0.5
echongl.csv,0.64,0.39,0.49,0.68,0.82,0.0,0.59,0.59,0.36,0.26,0.17,0.48,0.19
les-indemodables.csv,0.65,0.48,0.63,0.53,0.66,0.57,0.56,0.68,0.55,0.68,0.25,0.41,0.47
mbse.csv,0.5,0.38,0.45,0.69,0.34,0.0,0.53,0.24,0.6,0.39,0.67,0.63,0.34
ns-3-dev-def-routing.csv,0.61,0.53,0.61,0.05,0.75,0.91,0.66,0.0,0.35,0.62,0.19,0.53,0.43
psycle.csv,0.75,0.65,0.65,0.33,0.29,0.66,0.59,0.7,0.57,0.44,0.38,0.74,0.58
qpe.csv,0.72,0.36,0.52,0.61,0.72,0.0,0.61,0.53,0.39,0.34,0.43,0.6,0.42
simplewebservices.csv,0.41,0.47,0.5,0.09,0.22,0.66,0.49,0.33,0.77,0.0,0.67,0.73,0.27
v8.csv,0.57,0.39,0.35,0.54,0.0,0.0,0.52,0.83,0.68,0.36,0.49,0.21,0.64
wikipediardware.csv,0.7,0.62,0.4,0.17,0.13,0.0,0.42,0.76,0.68,0.44,0.0,0.49,0.8
wxstudio.csv,0.27,0.16,0.18,0.06,0.18,0.82,0.24,0.2,0.74,0.1,0.01,0.4,0.38
xamj.csv,0.62,0.65,0.32,0.5,0.66,0.66,0.5,0.4,0.53,0.45,0.51,0.72,0.41
