,qpe.csv,psycle.csv,acegisecurity.csv,mbse.csv,echongl.csv,xpontus.csv,ns-3-dev-def-routing.csv,v8.csv,wxstudio.csv,les-indemodables.csv,simplewebservices.csv,xamj.csv,wikipediardware.csv
acegisecurity.csv,0.1,0.77,0.43,0.42,0.76,0.01,0.45,0.98,0.48,0.44,0.45,0.51,0.73
echongl.csv,0.15,0.82,0.25,0.36,0.91,0.0,0.42,0.95,0.52,0.62,0.41,0.26,1.0
les-indemodables.csv,0.11,0.82,0.33,0.28,0.9,0.01,0.41,0.97,0.51,0.52,0.42,0.49,0.89
mbse.csv,0.15,0.78,0.29,0.45,0.59,0.0,0.39,0.98,0.55,0.43,0.51,0.44,0.92
ns-3-dev-def-routing.csv,0.11,0.83,0.31,0.25,0.9,0.03,0.54,0.92,0.4,0.4,0.76,0.29,0.73
psycle.csv,0.13,0.81,0.34,0.26,0.71,0.01,0.42,0.96,0.48,0.38,0.43,0.46,0.84
qpe.csv,0.19,0.86,0.32,0.29,0.96,0.0,0.44,0.96,0.48,0.35,0.42,0.55,1.0
simplewebservices.csv,0.05,0.6,0.25,0.24,0.47,0.01,0.35,0.97,0.57,0.36,0.58,0.42,0.72
v8.csv,0.09,0.54,0.24,0.27,0.72,0.0,0.38,0.99,0.52,0.26,0.43,0.15,0.78
wikipediardware.csv,0.12,0.79,0.3,0.25,0.71,0.01,0.38,0.97,0.52,0.39,0.41,0.32,0.94
wxstudio.csv,0.07,0.7,0.21,0.1,0.54,0.02,0.41,0.94,0.71,0.23,0.33,0.42,0.68
xamj.csv,0.11,0.76,0.34,0.27,0.81,0.01,0.36,0.95,0.53,0.43,0.41,0.59,0.82
