,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,qedo.csv,jruby.csv
abbot.csv,0.73,0.85,1.04,0.9,1.0,1.0,0.79,0.49,0.95,0.65,1.0
haphazard.csv,0.96,0.73,0.71,0.86,0.8,0.84,0.66,0.81,0.46,0.43,1.0
jicarilla.csv,0.97,1.0,0.26,1.0,1.0,1.0,0.97,0.71,1.0,1.0,0.98
jruby.csv,0.96,0.65,0.7,0.65,0.59,0.75,1.0,1.0,0.83,1.02,0.55
optalgtoolkit.csv,0.71,0.71,0.75,0.72,0.87,0.35,0.83,0.89,0.75,0.6,0.89
ossim.csv,0.83,0.79,0.87,0.33,0.86,0.7,0.7,0.91,0.81,0.93,0.78
projectts.csv,0.5,0.64,0.99,0.66,0.92,0.91,0.49,0.94,0.69,0.84,1.0
qedo.csv,0.98,0.95,0.56,0.99,1.02,0.5,0.94,0.7,0.63,0.3,0.94
sabbu.csv,0.39,0.74,0.9,0.62,0.61,0.92,0.7,0.89,0.78,1.12,0.76
vxl.csv,0.54,0.66,0.92,0.59,0.71,0.88,0.69,0.85,0.69,0.73,0.7
zact.csv,0.79,0.98,0.61,0.57,0.5,0.95,0.7,0.88,0.87,0.6,0.74
