,rezilla.csv,webdriver.csv,minig.csv,ossbuild.csv,jparsec.csv,kmess.csv
jparsec.csv,0.29,0.5,0.55,0.13,0.59,0.57
kmess.csv,0.4,0.76,0.33,0.21,0.2,0.73
minig.csv,0.32,0.44,0.54,0.13,0.67,0.57
ossbuild.csv,0.38,0.57,0.41,0.34,0.5,0.67
rezilla.csv,0.56,0.44,0.7,0.09,1.0,0.61
webdriver.csv,0.33,0.71,0.39,0.67,0.42,0.75
