,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.09,0.38,0.75,0.36
k3b.csv,0.68,0.21,0.82,0.73
mp-rechnungs-und-kundenverwaltung.csv,0.11,0.04,0.32,0.14
thrust.csv,0.38,0.38,0.15,0.55
