,thrust.csv,k3b.csv,mp-rechnungs-und-kundenverwaltung.csv,fityk.csv
fityk.csv,0.34,0.55,0.53,0.69
k3b.csv,0.57,0.71,0.51,0.57
mp-rechnungs-und-kundenverwaltung.csv,0.07,0.33,0.59,0.29
thrust.csv,0.73,0.31,0.13,0.22
