,ktc.csv,elmo.csv,neoengine.csv,zorannt.csv,vapor.csv,zscreen.csv,rosegarden.csv,nicepress.csv,etherboot.csv,gpac.csv,smarttag.csv,mbse.csv,gebr.csv,plplot.csv,omseek.csv,kml.csv,pcsx2.csv,wxjs.csv,gstreamer.csv,miranda.csv
elmo.csv,0.77,0.51,0.89,0.71,0.75,0.82,0.85,0.95,0.72,0.9,0.63,0.65,0.78,0.77,0.7,0.98,0.8,0.89,0.9,0.78
etherboot.csv,1.0,0.82,0.99,0.84,1.0,0.5,1.0,0.43,0.58,1.0,1.0,1.0,0.45,0.51,0.94,0.95,1.0,1.0,1.0,1.0
gebr.csv,0.94,0.74,0.73,0.82,0.94,0.86,0.67,0.99,0.93,0.84,1.0,0.99,0.34,0.82,0.96,0.68,0.93,0.99,0.99,0.94
gpac.csv,0.97,1.0,0.97,0.96,0.99,0.93,0.57,0.9,1.0,0.47,1.0,0.52,0.85,1.0,0.81,0.91,0.81,1.03,0.98,0.67
gstreamer.csv,0.58,0.66,0.61,0.64,0.6,0.62,0.58,0.64,0.77,0.85,0.97,0.59,0.56,0.82,0.59,0.51,0.52,0.74,0.39,0.8
kml.csv,0.8,0.74,0.85,0.81,0.82,0.42,0.83,0.86,0.94,1.0,1.0,0.53,0.41,0.95,0.85,0.32,0.63,0.93,0.99,0.99
ktc.csv,0.31,0.66,0.42,0.43,0.51,0.81,0.5,0.62,0.69,0.63,0.84,0.5,0.56,0.56,0.51,0.45,0.54,0.62,0.49,0.46
mbse.csv,0.54,0.54,0.53,0.54,0.72,0.83,0.53,0.61,0.85,0.64,1.0,0.51,0.55,0.7,0.54,0.7,0.64,0.57,0.6,0.6
miranda.csv,0.59,1.0,0.5,0.91,1.0,0.77,0.87,0.58,0.68,0.91,1.0,0.73,1.0,0.54,0.61,0.94,0.99,0.85,1.0,0.47
neoengine.csv,0.56,0.96,0.44,0.49,0.76,0.53,0.56,0.54,0.72,0.87,0.63,0.92,0.58,0.43,0.58,0.67,0.63,0.72,0.7,0.83
nicepress.csv,0.51,0.82,0.87,0.45,0.48,0.6,0.41,0.35,0.82,0.88,0.68,1.0,0.56,0.86,0.58,0.64,0.72,1.01,0.73,0.82
omseek.csv,0.76,1.0,0.91,0.83,0.85,1.0,0.83,0.92,0.83,0.98,0.83,0.95,0.86,0.91,0.46,0.97,0.79,0.64,0.94,0.77
pcsx2.csv,0.57,0.78,0.6,0.47,0.65,0.86,0.59,0.65,0.68,0.6,0.65,1.0,1.0,0.72,0.46,0.48,0.42,1.02,0.53,0.88
plplot.csv,0.61,0.64,0.67,0.74,0.61,0.61,0.7,0.51,0.61,0.89,0.74,1.0,0.69,0.34,0.69,0.65,0.48,1.09,0.72,0.67
rosegarden.csv,0.47,0.68,0.95,0.59,0.7,0.77,0.4,0.56,0.81,0.6,0.76,0.89,0.55,0.51,0.52,0.78,0.6,0.8,0.65,0.73
smarttag.csv,0.52,1.0,0.85,0.64,0.75,0.64,0.62,0.59,0.79,0.86,0.54,0.98,0.86,0.86,0.53,0.81,0.68,0.84,0.99,0.67
vapor.csv,1.0,0.62,0.54,0.57,0.58,0.87,0.89,0.53,0.71,0.96,1.0,0.62,0.53,0.48,0.48,0.7,0.87,0.59,0.94,1.0
wxjs.csv,0.93,1.0,0.98,1.0,1.0,0.79,1.0,1.0,0.96,0.98,1.0,1.0,1.0,0.95,1.0,0.95,0.99,0.21,0.99,1.0
zorannt.csv,0.63,0.75,0.78,0.38,0.67,0.58,0.81,0.72,0.79,0.69,0.66,0.93,0.73,0.58,0.5,0.64,0.6,0.58,0.86,0.77
zscreen.csv,0.66,0.85,0.54,0.52,0.63,0.36,0.47,0.78,0.76,0.67,0.73,0.97,0.49,0.61,0.57,0.53,0.54,0.93,0.51,0.91
