,ktc.csv,elmo.csv,neoengine.csv,zorannt.csv,vapor.csv,zscreen.csv,rosegarden.csv,nicepress.csv,etherboot.csv,gpac.csv,smarttag.csv,mbse.csv,gebr.csv,plplot.csv,omseek.csv,kml.csv,pcsx2.csv,wxjs.csv,gstreamer.csv,miranda.csv
elmo.csv,0.0,6.0,0.0,2.0,2.0,0.0,10.0,12.0,1.0,0.0,0.0,22.0,1.0,1.0,35.0,9.0,2.0,10.0,1.0,1.0
etherboot.csv,284.0,23.0,0.0,10.0,95.0,0.0,360.0,3.0,2.0,102.0,4.0,262.0,0.0,4.0,10.0,3.0,271.0,97.0,342.0,337.0
gebr.csv,4.0,18.0,2.0,9.0,3.0,0.0,3.0,15.0,0.0,0.0,4.0,9.0,0.0,3.0,91.0,1.0,0.0,44.0,4.0,3.0
gpac.csv,5.0,8.0,3.0,27.0,5.0,0.0,1.0,13.0,0.0,0.0,4.0,5.0,0.0,9.0,71.0,3.0,0.0,56.0,4.0,2.0
gstreamer.csv,11.0,2.0,3.0,6.0,1.0,0.0,8.0,6.0,4.0,0.0,4.0,11.0,0.0,10.0,24.0,0.0,0.0,25.0,1.0,3.0
kml.csv,12.0,20.0,3.0,9.0,4.0,0.0,7.0,9.0,0.0,0.0,4.0,6.0,0.0,8.0,65.0,2.0,0.0,40.0,4.0,3.0
ktc.csv,3.0,10.0,1.0,1.0,3.0,1.0,3.0,0.0,2.0,1.0,7.0,2.0,0.0,1.0,3.0,0.0,0.0,11.0,0.0,0.0
mbse.csv,7.0,4.0,2.0,11.0,3.0,2.0,6.0,0.0,11.0,0.0,52.0,2.0,1.0,6.0,19.0,8.0,0.0,8.0,0.0,0.0
miranda.csv,11.0,71.0,0.0,1.0,95.0,1.0,9.0,2.0,5.0,0.0,52.0,5.0,135.0,0.0,41.0,1.0,0.0,8.0,4.0,0.0
neoengine.csv,9.0,7.0,4.0,6.0,3.0,0.0,12.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,6.0,0.0,20.0,4.0,3.0
nicepress.csv,8.0,8.0,3.0,8.0,7.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,9.0,13.0,3.0,0.0,39.0,2.0,2.0
omseek.csv,2.0,71.0,1.0,1.0,1.0,72.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0
pcsx2.csv,3.0,4.0,1.0,3.0,2.0,0.0,6.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,21.0,0.0,0.0,97.0,4.0,4.0
plplot.csv,6.0,2.0,4.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,6.0,4.0,0.0,97.0,3.0,1.0
rosegarden.csv,16.0,13.0,3.0,15.0,2.0,0.0,0.0,2.0,0.0,0.0,4.0,4.0,1.0,4.0,36.0,1.0,0.0,26.0,3.0,1.0
smarttag.csv,4.0,71.0,0.0,8.0,5.0,0.0,4.0,3.0,4.0,0.0,1.0,2.0,0.0,0.0,23.0,1.0,2.0,23.0,0.0,0.0
vapor.csv,284.0,0.0,0.0,5.0,2.0,0.0,0.0,2.0,4.0,0.0,4.0,17.0,0.0,5.0,6.0,1.0,0.0,10.0,0.0,337.0
wxjs.csv,4.0,71.0,2.0,158.0,95.0,0.0,360.0,104.0,2.0,0.0,52.0,262.0,135.0,1.0,300.0,1.0,3.0,4.0,2.0,3.0
zorannt.csv,5.0,3.0,1.0,4.0,3.0,0.0,9.0,3.0,0.0,0.0,3.0,36.0,0.0,1.0,9.0,0.0,1.0,15.0,3.0,2.0
zscreen.csv,8.0,13.0,1.0,7.0,2.0,0.0,0.0,14.0,0.0,0.0,8.0,0.0,0.0,6.0,31.0,4.0,0.0,44.0,3.0,3.0
