,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,tcl.csv,decidr.csv,glas.csv
chipster.csv,0.34,0.58,0.62,0.2,0.95,0.97,1.0,0.26,0.08
decidr.csv,0.76,0.87,0.34,0.32,0.74,0.58,0.05,0.99,0.43
glas.csv,0.29,0.23,0.14,0.32,0.58,0.3,0.51,0.43,0.92
hatari.csv,0.56,0.81,0.93,0.6,0.73,0.68,0.51,0.51,0.32
ltp.csv,0.17,0.42,0.28,0.32,0.99,0.09,0.05,0.12,0.08
net-snmp.csv,0.95,0.52,0.45,0.6,0.62,0.55,0.49,0.41,0.3
opde.csv,0.98,0.52,0.52,0.88,0.98,0.36,0.64,0.69,0.27
powerfolder-.csv,0.29,0.94,0.0,0.04,0.34,0.21,0.31,0.17,0.0
tcl.csv,0.2,0.1,0.17,0.24,0.14,0.14,0.92,0.04,0.11
