,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,exist.csv,st-filteredstatistics.csv,pokenetonline.csv,java-gnome.csv,avisynth2.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv
adonthell.csv,0.93,0.36,0.51,0.4,0.71,0.45,0.72,0.39,0.75,0.4,0.29,0.67,0.41,0.4,0.89,0.56,0.45,0.35,0.54
autofac.csv,0.48,0.36,0.88,0.44,0.46,0.5,0.42,0.42,0.83,0.39,0.46,0.48,0.67,0.35,0.46,0.46,0.5,0.36,0.36
avisynth2.csv,0.88,0.92,0.92,0.88,0.0,0.67,0.75,0.67,0.67,0.93,0.67,0.9,0.5,0.8,0.86,0.0,0.62,0.5,0.93
dsworkbench.csv,0.91,0.45,0.47,0.83,0.67,0.92,0.8,0.89,0.6,0.94,0.69,0.83,0.0,0.89,0.76,0.0,0.5,0.95,0.83
exist.csv,0.54,0.33,0.4,0.32,0.46,0.37,0.46,0.39,0.38,0.41,0.29,0.33,0.47,0.4,0.58,0.46,0.41,0.32,0.4
forester-atv.csv,0.7,0.45,0.59,0.79,0.75,0.91,0.9,0.83,0.39,0.97,0.88,0.45,0.0,0.78,0.48,0.8,0.71,0.83,0.57
freelords.csv,0.36,0.32,0.37,0.38,0.46,0.45,0.39,0.49,0.32,0.35,0.28,0.38,0.35,0.41,0.36,0.48,0.53,0.35,0.38
gephex.csv,0.65,0.53,0.36,0.34,0.52,0.47,0.48,0.41,0.47,0.46,0.42,0.34,0.38,0.68,0.52,0.49,0.43,0.62,0.45
google-collections.csv,0.36,0.35,0.36,0.32,0.44,0.39,0.45,0.4,0.34,0.34,0.29,0.34,0.38,0.4,0.38,0.45,0.41,0.35,0.39
java-gnome.csv,0.88,0.39,0.53,0.54,0.88,0.76,0.65,0.55,0.89,0.64,0.82,0.36,0.46,0.68,0.95,0.5,0.59,0.76,0.82
jpaul.csv,0.68,0.53,0.45,0.92,0.0,0.92,0.48,0.83,0.56,0.96,0.88,0.9,0.5,0.89,0.59,0.8,0.92,0.0,0.97
neodatis-odb.csv,0.52,0.41,0.91,0.62,0.93,0.94,0.49,0.74,0.73,0.94,0.43,0.88,0.0,0.52,0.61,0.58,0.5,0.52,0.47
octet.csv,0.93,0.44,0.56,0.55,0.96,0.67,0.57,0.58,0.86,0.37,0.46,0.56,0.75,0.49,0.52,0.69,0.8,0.51,0.46
personalaccess.csv,0.92,0.41,0.41,0.48,0.67,0.5,0.42,0.48,0.41,0.52,0.39,0.58,0.0,0.63,0.37,0.7,0.8,0.48,0.48
pokenetonline.csv,0.42,0.31,0.37,0.36,0.49,0.38,0.47,0.41,0.46,0.34,0.28,0.4,0.58,0.4,0.37,0.59,0.45,0.36,0.37
rcp-company-uibindings.csv,0.35,0.33,0.37,0.46,0.45,0.46,0.36,0.42,0.5,0.56,0.34,0.67,0.65,0.42,0.42,0.39,0.48,0.4,0.42
scenemonitor.csv,0.45,0.35,0.37,0.45,0.59,0.51,0.53,0.43,0.48,0.97,0.36,0.5,0.71,0.75,0.43,0.86,0.43,0.79,0.42
servicestack.csv,0.67,0.42,0.88,0.83,0.0,0.89,0.67,0.79,0.5,0.66,0.75,0.92,0.0,0.92,0.72,0.8,0.62,0.0,0.97
st-filteredstatistics.csv,0.52,0.4,0.45,0.42,0.44,0.39,0.49,0.41,0.42,0.36,0.34,0.41,0.39,0.47,0.35,0.47,0.62,0.46,0.43
