,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,exist.csv,st-filteredstatistics.csv,pokenetonline.csv,java-gnome.csv,avisynth2.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv
adonthell.csv,0.0,0.68,0.56,0.73,0.19,0.32,0.37,0.84,0.34,0.8,0.85,0.08,0.12,1.0,0.08,0.31,0.83,1.0,0.2
autofac.csv,0.5,0.82,0.06,0.12,0.21,0.29,0.54,0.74,0.09,0.64,0.38,0.4,0.44,0.6,0.44,0.47,0.17,0.63,0.6
avisynth2.csv,0.0,0.15,0.12,0.12,0.02,0.0,0.05,0.03,0.03,0.09,0.0,0.08,0.12,0.03,0.12,0.0,0.11,0.05,0.0
dsworkbench.csv,0.0,0.25,0.25,0.09,0.0,0.04,0.1,0.07,0.19,0.11,0.31,0.04,0.0,0.29,0.28,0.0,0.02,0.05,0.1
exist.csv,1.0,0.92,0.81,1.0,0.75,0.75,1.0,0.96,0.66,0.25,1.0,0.92,0.81,0.89,0.2,1.0,1.0,0.88,1.0
forester-atv.csv,0.5,0.28,0.38,0.18,0.02,0.18,0.15,0.01,0.47,0.07,0.23,0.56,0.0,0.26,0.6,0.08,0.24,0.07,0.7
freelords.csv,0.0,0.88,0.62,0.58,0.92,0.39,0.68,0.67,0.66,0.91,0.54,0.6,1.0,0.9,0.44,0.47,0.24,1.0,0.3
gephex.csv,0.0,0.62,1.0,0.97,0.92,0.54,0.68,0.76,0.59,0.73,0.31,0.96,1.0,0.45,0.52,0.9,0.91,0.29,0.8
google-collections.csv,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,0.84,1.0,1.0,0.92,1.0,1.0,1.0,1.0
java-gnome.csv,0.0,0.57,0.38,0.36,0.23,0.25,0.37,0.44,0.09,0.31,0.08,0.72,0.12,0.48,0.08,0.49,0.24,0.24,0.2
jpaul.csv,0.0,0.38,0.81,0.12,0.0,0.14,0.32,0.37,0.28,0.16,0.31,0.28,0.06,0.15,0.36,0.24,0.15,0.0,0.0
neodatis-odb.csv,1.0,0.85,0.06,0.36,0.08,0.14,0.8,0.26,0.16,0.21,0.54,0.16,0.0,0.73,0.44,0.63,0.02,0.39,0.5
octet.csv,0.0,0.55,0.44,0.52,0.1,0.21,0.41,0.26,0.09,0.89,0.38,0.4,0.12,0.71,0.52,0.2,0.07,0.46,0.3
personalaccess.csv,0.0,0.42,0.5,0.33,0.15,0.18,0.34,0.43,0.47,0.15,0.46,0.28,0.06,0.29,0.32,0.12,0.02,0.44,0.4
pokenetonline.csv,0.0,0.88,1.0,0.64,0.58,0.43,0.41,0.81,0.34,1.0,0.92,0.28,0.56,1.0,0.84,0.33,0.41,0.61,0.4
rcp-company-uibindings.csv,0.0,0.65,0.75,0.3,0.42,0.32,0.34,0.66,0.34,0.26,0.38,0.12,0.31,0.35,0.28,0.49,0.33,0.51,0.0
scenemonitor.csv,0.0,0.57,0.81,0.33,0.25,0.18,0.22,0.59,0.19,0.09,0.46,0.32,0.31,0.06,0.4,0.1,0.46,0.22,0.3
servicestack.csv,0.0,0.4,0.25,0.09,0.0,0.14,0.02,0.16,0.03,0.2,0.38,0.04,0.0,0.19,0.12,0.06,0.2,0.0,0.1
st-filteredstatistics.csv,0.0,0.8,0.62,0.73,0.9,0.86,0.88,0.69,0.62,0.92,0.08,0.68,0.94,0.52,0.6,0.94,0.17,0.54,0.6
