,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.95,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
chrysalis.csv,0.59,0.55,0.6,0.71,0.8,0.25,0.71,0.29,0.17,0.89
jahshaka.csv,0.52,0.82,0.4,0.28,0.6,0.54,0.67,0.21,0.44,0.81
jam-daq.csv,0.56,0.09,0.28,0.42,0.6,0.23,0.69,0.11,0.17,0.11
jatlas.csv,0.93,0.64,0.68,0.57,1.0,0.07,0.69,0.18,0.17,0.44
jedit.csv,0.74,1.0,0.68,1.0,0.8,0.94,1.0,1.0,0.98,0.96
mscore.csv,0.57,0.64,0.5,0.97,0.8,0.7,1.0,0.68,0.67,0.67
open-media-library.csv,0.7,0.36,0.72,0.64,0.8,0.56,0.84,0.43,0.48,0.0
panda3d.csv,0.49,0.64,0.42,0.57,0.8,0.2,0.6,0.57,0.5,0.89
wheat.csv,0.43,0.45,0.6,0.51,0.4,0.55,0.8,0.68,0.4,0.22
