,jedit.csv,jahshaka.csv,open-media-library.csv,benojt.csv,jatlas.csv,mscore.csv,jam-daq.csv,wheat.csv,panda3d.csv,chrysalis.csv
benojt.csv,0.85,1.0,1.0,0.01,0.97,1.0,0.94,1.0,1.0,0.98
chrysalis.csv,0.49,0.47,0.71,0.29,0.3,0.75,0.55,0.72,0.85,0.25
jahshaka.csv,0.51,0.31,0.81,0.72,0.64,0.51,0.83,0.8,0.7,0.43
jam-daq.csv,0.6,0.91,0.75,0.58,0.43,0.77,0.42,0.89,0.84,0.89
jatlas.csv,0.79,0.58,0.79,0.55,0.15,0.93,0.65,0.86,0.88,0.57
jedit.csv,0.33,1.0,0.73,1.0,0.96,0.91,1.0,0.96,0.97,0.81
mscore.csv,0.58,0.73,0.63,1.0,0.64,0.4,0.94,0.59,0.69,0.46
open-media-library.csv,0.72,0.65,0.39,0.76,0.41,0.57,0.59,0.64,0.62,1.0
panda3d.csv,0.59,0.41,0.67,0.43,0.48,0.81,0.58,0.72,0.58,0.6
wheat.csv,0.83,0.65,0.88,0.49,0.82,0.51,0.8,0.43,0.68,0.84
