,jmoney.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jmonkeyengine.csv,e-bio-flow.csv,matrex.csv,reaper3d.csv
dxengine.csv,97.5,97.5,186.0,384.0,2029.0,154.0,95.5,294.5,1722.5
e-bio-flow.csv,190.0,97.5,97.5,192.0,98.5,422.5,192.0,196.0,2686.0
jmoney.csv,97.5,97.5,95.5,384.0,98.5,330.0,291.5,97.5,1382.5
jmonkeyengine.csv,190.0,99.0,104.0,287.5,1576.0,414.5,905.0,254.5,3677.0
jsidplay2.csv,97.5,189.0,99.0,90.5,98.5,194.0,194.0,265.5,1685.5
matrex.csv,97.5,94.5,97.5,190.0,189.0,89.5,194.0,86.5,246.5
piccolo2d.csv,97.5,99.0,95.5,93.5,98.5,250.5,388.0,99.0,606.5
reaper3d.csv,97.5,85.5,98.5,189.0,605.5,361.5,194.0,99.0,1315.0
sblim.csv,97.5,99.0,95.5,286.5,98.5,243.5,82.5,27.5,1003.5
