,umber.csv,openwbem.csv,orc.csv,ivatamasks.csv,oppna-program-hsatools.csv,ogrehg.csv,iaml.csv,cubefs.csv,bwapi.csv,xcmetadataservicestoolkit.csv,kolmafia.csv,olex2.csv,ta3d.csv,gisgraphy.csv
bwapi.csv,0.26,0.36,0.13,0.68,0.89,0.38,0.57,0.69,0.91,0.73,0.56,0.48,0.7,0.23
cubefs.csv,0.25,0.48,0.01,0.75,0.91,0.54,0.61,0.81,0.48,0.87,0.48,0.43,0.71,0.15
gisgraphy.csv,0.2,0.43,0.09,0.5,0.58,0.47,0.63,0.63,0.84,0.67,0.61,0.38,0.64,0.61
iaml.csv,0.16,0.42,0.15,0.76,0.83,0.4,0.75,0.69,0.8,0.7,0.55,0.52,0.73,0.33
ivatamasks.csv,0.28,0.46,0.1,0.88,0.78,0.47,0.64,0.72,0.73,0.76,0.66,0.46,0.73,0.34
kolmafia.csv,0.27,0.4,0.11,0.68,0.96,0.43,0.55,0.73,0.67,0.81,0.8,0.53,0.73,0.27
ogrehg.csv,0.1,0.37,0.13,0.86,0.95,0.6,0.62,0.72,0.72,0.68,0.68,0.61,0.74,0.24
olex2.csv,0.36,0.37,0.12,0.68,1.0,0.51,0.61,0.74,1.0,0.86,0.61,0.71,0.74,0.16
openwbem.csv,0.37,0.53,0.13,0.68,0.96,0.51,0.68,0.71,0.67,0.84,0.64,0.55,0.81,0.39
oppna-program-hsatools.csv,0.31,0.36,0.19,0.68,0.98,0.39,0.53,0.7,0.95,0.77,0.63,0.62,0.68,0.22
orc.csv,0.08,0.47,0.31,0.71,0.89,0.51,0.54,0.62,0.82,0.71,0.61,0.7,0.8,0.3
ta3d.csv,0.59,0.3,0.0,0.67,0.95,0.44,0.63,0.93,0.8,1.0,0.63,0.38,0.75,0.26
umber.csv,0.74,0.43,0.1,0.75,0.82,0.43,0.56,0.7,0.78,0.78,0.59,0.49,0.69,0.33
xcmetadataservicestoolkit.csv,0.57,0.36,0.19,0.66,0.98,0.4,0.57,0.88,0.89,0.86,0.58,0.48,0.69,0.21
