,flylinkdc.csv,nuttx.csv,dvt.csv,utgb.csv,fw4spl.csv,proftp.csv,grisbi.csv,tcvp.csv,tart.csv,panda3d.csv,qmmp.csv,mesa3d.csv,skia.csv
dvt.csv,0.81,0.08,0.69,0.09,0.02,0.4,0.64,0.56,0.4,0.19,0.56,0.58,0.39
flylinkdc.csv,0.73,0.85,0.95,0.86,0.67,0.9,0.77,0.22,0.8,0.65,0.54,0.9,0.7
fw4spl.csv,0.54,0.3,0.33,0.43,0.56,0.23,0.55,0.67,0.6,0.38,0.19,0.52,0.57
grisbi.csv,0.95,1.0,0.83,0.89,0.98,0.93,0.83,1.0,1.0,0.88,0.87,0.84,0.96
mesa3d.csv,0.59,0.46,0.57,0.17,0.9,0.83,0.52,1.0,0.8,0.48,0.71,0.58,0.7
nuttx.csv,0.65,0.7,0.19,0.43,0.5,0.73,0.3,0.67,1.0,0.46,0.38,0.25,0.61
panda3d.csv,0.14,0.37,0.52,0.6,0.27,0.63,0.59,0.78,0.8,0.6,0.59,0.35,0.26
proftp.csv,0.27,0.0,0.14,0.49,0.17,0.77,0.27,0.0,0.2,0.38,0.06,0.0,0.48
qmmp.csv,0.68,0.63,0.6,0.46,1.0,0.53,0.73,0.78,0.6,0.38,0.65,0.67,0.43
skia.csv,0.41,0.35,0.17,0.51,0.29,0.83,0.39,0.11,0.2,0.38,0.33,0.48,0.61
tart.csv,0.65,0.16,0.38,0.66,0.71,1.0,0.88,1.0,1.0,0.31,0.57,0.2,0.61
tcvp.csv,0.03,0.0,0.0,0.0,0.08,0.0,0.02,0.78,0.0,0.0,0.0,0.0,0.04
utgb.csv,0.46,0.21,0.29,0.74,0.54,0.43,0.42,0.56,0.6,0.4,0.38,0.51,0.48
