,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,0.83,0.53,0.68,0.47,0.42,0.56,0.65,0.45,0.34,0.46,0.44,0.35,0.52,0.47,0.42,0.52,0.53,0.76
arm-webradio.csv,0.62,0.56,0.79,0.6,0.45,0.7,0.83,0.96,0.38,0.5,0.86,0.67,0.71,0.65,0.42,0.51,0.76,0.7
bwapi.csv,0.46,0.47,0.43,0.5,0.54,0.43,0.36,0.39,0.92,0.62,0.36,0.5,0.45,0.46,0.89,0.68,0.46,0.67
co-ode-owl-plugins.csv,0.52,0.67,0.59,0.58,0.42,0.55,0.86,0.95,0.38,0.43,0.83,0.71,0.77,0.51,0.42,0.49,0.63,0.68
firebreath.csv,0.47,0.44,0.43,0.56,0.37,0.5,0.88,0.52,0.4,0.45,0.7,0.41,0.46,0.55,0.61,0.55,0.78,0.58
frogatto.csv,0.32,0.37,0.39,0.44,0.37,0.38,0.33,0.35,0.41,0.46,0.37,0.33,0.32,0.45,0.42,0.46,0.44,0.46
gretl.csv,0.45,0.54,0.55,0.63,0.41,0.52,0.49,0.53,0.49,0.43,0.75,0.42,0.53,0.48,0.42,0.49,0.49,0.51
jasperreports.csv,0.64,0.55,0.42,0.57,0.59,0.46,0.35,0.39,0.56,0.94,0.36,0.48,0.52,0.69,0.73,0.93,0.46,0.72
konversation.csv,0.59,0.83,0.5,0.82,0.61,0.5,0.95,0.81,0.86,0.48,0.89,0.62,0.7,0.63,0.73,0.92,0.66,0.7
linuxsh.csv,0.7,0.59,0.93,0.95,0.44,0.96,0.67,0.74,0.36,0.49,0.0,0.96,0.96,0.96,0.41,0.57,0.93,0.7
moviesandbox.csv,0.49,0.85,0.52,0.78,0.4,0.55,0.9,0.86,0.55,0.48,0.67,0.97,0.92,0.74,0.6,0.57,0.65,0.97
ontomorphtab.csv,0.39,0.45,0.41,0.51,0.43,0.44,0.42,0.37,0.34,0.44,0.48,0.38,0.41,0.43,0.43,0.58,0.53,0.55
opengs.csv,0.67,0.62,0.57,0.67,0.38,0.53,0.5,0.67,0.59,0.61,0.0,0.66,0.65,0.71,0.52,0.67,0.53,0.73
scite-ru.csv,0.46,0.39,0.47,0.52,0.39,0.44,0.76,0.43,0.39,0.41,0.4,0.41,0.54,0.46,0.41,0.46,0.42,0.58
tokratan.csv,0.47,0.52,0.58,0.71,0.37,0.63,0.0,0.92,0.95,0.68,0.55,0.39,0.43,0.53,0.88,0.88,0.65,0.56
vrjuggler.csv,0.58,0.0,0.89,0.9,0.75,0.5,0.89,0.93,0.0,0.88,0.57,0.89,0.9,0.75,0.47,0.96,0.0,0.94
wxcode.csv,0.55,0.73,0.52,0.79,0.55,0.66,0.55,0.8,0.0,0.91,0.72,0.48,0.44,0.56,0.67,0.91,0.67,0.71
xuggle.csv,0.5,0.4,0.56,0.58,0.38,0.44,0.39,0.51,0.46,0.55,0.54,0.43,0.39,0.46,0.43,0.48,0.45,0.43
