,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv,javaprofiler.csv
adonthell.csv,0.0,0.57,0.69,0.48,0.02,0.25,0.34,0.47,0.5,0.59,0.31,0.37,0.16,0.43,0.59,0.41,0.0,0.17
autofac.csv,1.0,0.7,0.19,0.0,0.1,0.43,0.22,0.5,0.12,0.43,0.38,0.43,0.24,0.65,0.13,0.39,0.4,0.39
azureus.csv,0.0,0.25,0.19,0.03,0.04,0.07,0.12,0.17,0.31,0.23,0.1,0.0,0.08,0.16,0.02,0.12,0.0,0.08
dsworkbench.csv,0.0,0.3,0.0,0.42,0.12,0.18,0.41,0.4,0.09,0.45,0.19,0.49,0.2,0.25,0.33,0.07,0.0,0.39
forester-atv.csv,0.0,0.0,0.0,0.0,0.04,0.07,0.02,0.04,0.06,0.12,0.02,0.2,0.2,0.0,0.0,0.07,0.1,0.06
freelords.csv,0.0,0.52,0.5,0.79,0.73,0.04,0.63,0.7,0.78,0.62,0.62,0.71,0.8,0.41,0.37,0.66,0.5,0.58
gabel.csv,0.0,0.08,0.0,0.0,0.0,0.0,0.07,0.14,0.0,0.01,0.07,0.0,0.0,0.02,0.0,0.0,0.0,0.0
gephex.csv,0.0,0.38,0.62,0.61,0.54,0.21,0.44,0.54,0.16,0.48,0.31,0.22,0.4,0.33,0.41,0.02,0.2,0.5
google-collections.csv,0.0,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.98,0.98,1.0,0.97
javaprofiler.csv,0.5,0.52,0.31,0.24,0.9,0.43,0.37,0.51,0.44,0.73,0.21,0.66,0.52,0.14,0.3,0.61,0.2,0.0
jpaul.csv,0.5,0.48,0.19,0.03,0.0,0.11,0.0,0.29,0.12,0.27,0.17,0.3,0.2,0.18,0.09,0.0,0.1,0.08
mycila.csv,0.0,0.05,0.19,0.73,0.23,0.11,0.49,0.16,0.5,0.12,0.0,0.2,0.2,0.69,0.28,0.1,0.4,0.25
neodatis-odb.csv,0.5,0.55,0.12,0.55,0.23,0.25,0.32,0.0,0.22,0.42,0.14,0.17,0.4,0.33,0.57,0.29,0.6,0.53
octet.csv,0.0,0.6,0.81,0.09,0.06,0.39,0.22,0.24,0.28,0.43,0.12,0.73,0.56,0.0,0.24,0.15,0.4,0.36
personalaccess.csv,0.0,0.68,0.5,0.21,0.21,0.29,0.68,0.69,0.25,0.6,0.71,0.55,0.0,0.33,0.07,0.34,0.2,0.61
rcp-company-uibindings.csv,1.0,1.0,0.94,0.97,1.0,0.96,1.0,0.97,0.81,0.95,0.95,0.9,0.88,0.98,0.91,0.95,0.0,0.83
scenemonitor.csv,0.0,0.65,0.56,0.45,0.4,0.43,0.44,0.36,0.0,0.48,0.31,0.6,0.48,0.37,0.5,0.68,0.4,0.28
servicestack.csv,1.0,0.28,0.31,0.06,0.1,0.29,0.07,0.2,0.03,0.18,0.19,0.37,0.84,0.12,0.0,0.32,0.3,0.25
