,google-collections.csv,forester-atv.csv,dsworkbench.csv,autofac.csv,adonthell.csv,freelords.csv,jpaul.csv,neodatis-odb.csv,scenemonitor.csv,gabel.csv,mycila.csv,azureus.csv,personalaccess.csv,octet.csv,servicestack.csv,gephex.csv,rcp-company-uibindings.csv,javaprofiler.csv
adonthell.csv,0.61,0.74,0.71,0.64,0.1,0.72,0.63,0.74,0.64,0.6,0.77,0.66,0.69,0.83,0.66,0.56,0.66,0.84
autofac.csv,1.07,0.71,0.67,0.03,0.79,0.77,0.52,0.7,0.61,0.45,0.98,0.51,0.47,0.78,0.49,0.63,0.54,0.76
azureus.csv,0.78,0.63,0.67,0.72,0.93,0.9,0.66,0.75,0.59,0.34,1.0,0.07,0.81,0.59,0.82,0.9,0.79,0.92
dsworkbench.csv,0.69,0.83,0.0,0.67,0.73,0.65,0.63,0.65,0.76,0.67,0.82,0.59,0.52,0.63,0.48,0.85,0.76,0.78
forester-atv.csv,0.99,0.04,0.82,0.93,0.98,0.93,0.94,0.81,0.75,0.76,1.0,0.74,0.8,0.86,0.94,0.96,0.89,0.91
freelords.csv,0.3,0.87,0.56,0.85,0.85,0.05,0.68,0.8,0.86,0.72,0.69,0.74,0.83,0.5,0.65,0.75,0.61,0.86
gabel.csv,1.0,0.96,1.0,1.0,0.98,0.96,0.94,0.96,0.95,0.01,0.9,0.98,0.93,0.86,1.0,1.0,0.91,1.0
gephex.csv,0.76,0.82,0.66,0.82,0.69,0.64,0.6,0.68,0.77,1.0,0.86,0.8,0.72,0.66,0.54,0.03,0.67,0.84
google-collections.csv,0.0,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,0.98,0.98,1.0,0.97
javaprofiler.csv,0.58,0.78,0.64,0.76,0.91,0.65,0.69,0.71,0.78,0.77,0.64,0.7,0.77,0.59,0.72,0.7,0.59,0.0
jpaul.csv,0.89,0.57,0.53,0.72,1.0,0.99,0.06,0.68,0.76,0.3,1.01,0.47,0.7,0.74,0.83,1.0,0.85,0.88
mycila.csv,0.79,0.92,0.72,0.8,0.74,0.83,0.96,0.88,0.86,1.01,0.0,0.76,0.86,0.89,0.93,0.85,0.75,0.94
neodatis-odb.csv,0.91,0.72,0.89,0.75,0.82,0.81,0.88,0.0,0.64,0.76,0.71,0.84,0.74,0.79,0.67,0.78,0.87,0.72
octet.csv,0.44,0.6,0.82,0.63,0.8,0.82,0.8,0.64,0.94,0.57,0.71,0.73,0.58,0.0,0.75,0.8,0.48,0.85
personalaccess.csv,0.61,0.7,0.71,0.59,0.62,0.63,0.69,0.78,0.43,0.6,0.82,0.56,0.0,0.54,0.42,0.76,0.6,0.7
rcp-company-uibindings.csv,1.0,1.0,0.94,0.97,1.0,0.96,1.0,0.97,0.81,0.95,0.96,0.9,0.88,0.99,0.94,0.95,0.0,0.83
scenemonitor.csv,0.22,0.7,0.58,0.53,0.57,0.74,0.53,0.67,0.1,0.54,0.77,0.62,0.57,0.68,0.58,0.76,0.54,0.71
servicestack.csv,1.06,0.54,0.75,0.69,0.74,0.81,0.71,0.73,0.9,0.42,0.82,0.63,0.92,0.87,0.18,0.81,0.46,0.95
