,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.67,0.51,0.59,0.96,0.56,0.59,0.0,0.54,0.51,0.43,0.74
linux-ntfs.csv,0.42,0.41,0.36,0.4,0.42,0.41,0.0,0.33,0.44,0.27,0.93
olap-navigator.csv,0.98,0.64,0.83,0.79,0.76,0.59,0.67,0.75,0.28,0.63,0.27
phonon-vlc-mplayer.csv,0.47,0.63,0.98,0.49,0.71,0.62,0.83,0.19,0.68,0.56,0.65
qgis.csv,0.56,0.98,0.64,0.48,0.62,0.64,0.0,0.64,0.74,0.63,0.57
qse.csv,0.63,0.55,0.68,0.64,1.0,0.71,0.0,0.33,0.5,0.51,0.65
rebecca-aiml.csv,0.51,0.53,0.38,0.29,0.4,0.58,0.0,0.3,0.98,0.35,0.68
roller.csv,0.45,0.29,0.57,0.59,0.52,0.99,0.0,0.39,0.31,0.3,0.34
xapian.csv,0.66,0.61,0.61,0.57,0.69,0.58,0.0,0.42,0.81,1.0,0.55
zoolib.csv,0.48,0.37,0.48,0.24,0.17,0.38,0.0,0.78,0.2,0.23,0.57
