,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.65,0.82,0.62,0.05,0.57,0.48,1.04,0.8,0.55,0.84,0.49
linux-ntfs.csv,0.67,0.67,0.73,0.65,0.64,0.66,1.12,0.75,0.62,0.8,0.08
olap-navigator.csv,0.02,0.65,0.33,0.48,0.58,0.77,0.71,0.61,1.0,0.54,0.94
phonon-vlc-mplayer.csv,0.67,0.58,0.03,0.84,0.58,0.58,0.51,0.84,0.68,0.57,0.61
qgis.csv,0.5,0.03,0.54,0.76,0.6,0.61,1.14,0.54,0.46,0.49,0.71
qse.csv,0.49,0.54,0.43,0.43,0.0,0.58,1.13,0.75,0.78,0.65,0.57
rebecca-aiml.csv,0.69,0.61,0.67,0.78,0.75,0.63,1.1,0.78,0.02,0.74,0.46
roller.csv,0.63,0.84,0.53,0.49,0.7,0.01,1.13,0.69,0.89,0.84,0.84
xapian.csv,0.54,0.6,0.49,0.76,0.48,0.61,1.13,0.71,0.39,0.01,0.62
zoolib.csv,0.63,0.68,0.57,0.8,0.86,0.68,1.01,0.26,0.84,0.81,0.54
