,olap-navigator.csv,qgis.csv,phonon-vlc-mplayer.csv,gnupdate.csv,qse.csv,roller.csv,xpontus.csv,zoolib.csv,rebecca-aiml.csv,xapian.csv,linux-ntfs.csv
gnupdate.csv,0.63,0.78,0.48,0.0,0.34,0.16,0.27,0.77,0.12,0.65,0.45
linux-ntfs.csv,0.26,0.17,0.26,0.07,0.13,0.22,0.51,0.24,0.09,0.2,0.0
olap-navigator.csv,0.0,0.6,0.31,0.47,0.57,0.76,0.71,0.61,0.91,0.42,0.93
phonon-vlc-mplayer.csv,0.37,0.48,0.0,0.81,0.55,0.47,0.51,0.07,0.67,0.33,0.55
qgis.csv,0.07,0.01,0.41,0.57,0.49,0.53,0.56,0.4,0.42,0.31,0.62
qse.csv,0.3,0.24,0.28,0.16,0.0,0.55,0.52,0.24,0.66,0.42,0.48
rebecca-aiml.csv,0.48,0.34,0.06,0.22,0.4,0.49,0.45,0.25,0.0,0.26,0.34
roller.csv,0.22,0.41,0.26,0.2,0.53,0.0,0.52,0.25,0.52,0.42,0.48
xapian.csv,0.44,0.48,0.27,0.73,0.38,0.45,0.52,0.35,0.37,0.01,0.41
zoolib.csv,0.3,0.07,0.03,0.01,0.02,0.14,0.11,0.0,0.08,0.1,0.28
