,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,0.21,0.3,0.19,0.95,0.29,0.39,0.34,0.12,0.14,0.2
ffigo.csv,0.24,0.83,0.48,0.5,0.5,0.81,0.72,0.0,0.96,0.6
foursquared.csv,0.03,0.06,0.0,0.15,1.0,0.0,0.02,0.0,0.07,0.05
gebr.csv,0.9,0.96,1.0,1.0,0.92,0.83,0.9,0.62,0.84,0.8
ildjit.csv,0.97,0.05,0.02,0.0,0.08,0.03,0.04,0.0,0.0,0.0
jfreereport.csv,0.62,0.91,0.38,0.8,0.42,0.17,0.3,0.0,0.25,0.3
kml.csv,0.52,0.87,0.46,0.65,0.88,0.94,0.64,0.38,0.71,0.9
ng4j.csv,0.03,0.15,0.21,0.55,0.71,0.42,0.3,0.0,0.43,1.0
pcsx2.csv,0.24,0.65,0.59,0.5,0.79,0.75,0.99,0.25,0.61,0.2
wxjs.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
