,etics.csv,mcore3d.csv,kvs.csv,ogrehg.csv,genecys.csv,boost.csv,projecteqemu.csv,kftpgrabber.csv
boost.csv,0.43,0.56,0.41,0.34,0.33,0.36,0.62,0.5
etics.csv,0.17,0.35,0.07,0.12,0.33,0.16,0.22,0.4
genecys.csv,0.83,0.82,0.61,0.76,0.33,0.79,0.47,0.9
kftpgrabber.csv,0.0,0.21,0.07,0.1,0.11,0.14,0.27,0.19
kvs.csv,0.29,0.09,0.17,0.3,0.22,0.31,0.4,0.08
mcore3d.csv,0.05,0.47,0.72,0.19,0.78,0.02,0.6,0.24
ogrehg.csv,0.29,0.53,0.28,0.28,0.33,0.28,0.49,0.4
projecteqemu.csv,0.45,0.26,0.03,0.21,0.33,0.21,0.31,0.26
