,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,galaxium.csv,bzbyte.csv,v8.csv
bochs.csv,0.39,0.44,0.44,0.49,0.66,0.52,0.44,0.38,0.49
bzbyte.csv,0.0,0.0,0.42,0.0,0.0,0.34,0.5,0.4,0.0
encog-java.csv,0.6,0.9,0.67,0.96,0.74,0.55,0.88,0.88,0.83
galaxium.csv,0.43,0.47,0.52,0.36,0.48,0.35,0.5,0.39,0.45
h2database.csv,0.65,0.6,0.89,0.45,0.95,0.55,0.9,0.52,0.96
haphazard.csv,0.98,0.98,0.51,0.58,0.72,0.68,0.64,0.62,0.79
jaql.csv,0.46,0.78,0.59,0.51,0.5,0.38,0.88,0.43,0.67
raven-monitoring.csv,0.44,0.47,0.54,0.54,0.97,0.38,0.42,0.4,0.86
v8.csv,0.99,0.71,0.44,0.47,0.6,0.46,0.48,0.94,0.49
