,nova.csv,crisscross.csv,mb-unit.csv,ivatamasks.csv,ivataopenportal.csv,kolmafia.csv,olex2.csv
crisscross.csv,0.75,0.9,0.8,0.9,0.93,0.52,0.56
ivatamasks.csv,0.43,0.45,0.48,0.43,0.4,0.4,0.34
ivataopenportal.csv,0.8,0.89,0.59,0.62,0.58,0.49,0.66
kolmafia.csv,0.52,0.86,0.49,0.5,0.54,0.41,0.66
mb-unit.csv,0.75,0.55,0.45,0.41,0.42,0.51,0.41
nova.csv,0.75,0.61,0.83,0.9,0.95,0.92,0.76
olex2.csv,0.89,0.5,0.47,0.47,0.49,0.47,0.53
