,nova.csv,crisscross.csv,mb-unit.csv,ivatamasks.csv,ivataopenportal.csv,kolmafia.csv,olex2.csv
crisscross.csv,0.72,0.05,0.82,0.8,0.87,0.6,0.66
ivatamasks.csv,0.83,0.96,0.67,0.01,0.66,0.43,0.97
ivataopenportal.csv,0.63,0.91,0.7,0.63,0.02,0.56,0.79
kolmafia.csv,0.44,0.73,0.72,0.56,0.7,0.02,0.72
mb-unit.csv,0.85,0.69,0.02,0.92,0.82,0.81,0.61
nova.csv,0.08,0.62,0.81,0.95,0.93,0.81,0.75
olex2.csv,0.78,0.91,0.65,0.64,0.6,0.58,0.04
