,plearn.csv,pclasses.csv,re2c.csv,tzod.csv,psrchive.csv,liferea.csv,aubit4gl.csv,opensim4opencog.csv,thrust.csv,yaprm.csv,bionote.csv,rebecca-aiml.csv,arm-webradio.csv
arm-webradio.csv,0.19,0.21,0.12,0.58,0.61,0.45,0.38,0.6,0.02,0.5,0.56,0.57,0.21
aubit4gl.csv,0.03,0.27,0.16,0.04,0.21,0.3,0.44,0.45,0.04,0.21,0.13,0.52,0.0
bionote.csv,0.17,0.23,0.16,0.17,0.12,0.23,0.21,0.33,0.49,0.11,0.19,0.31,0.58
liferea.csv,0.62,0.62,0.25,0.17,0.47,0.25,0.33,0.2,0.28,0.42,0.0,0.11,0.11
opensim4opencog.csv,0.34,0.29,0.65,0.42,0.4,0.3,0.67,0.24,0.11,0.66,0.4,0.23,0.22
pclasses.csv,0.33,0.23,0.04,0.44,0.0,0.0,0.0,0.31,0.0,0.05,0.08,0.55,0.04
plearn.csv,0.32,0.46,0.33,0.29,0.48,0.3,0.19,0.21,0.51,0.66,0.06,0.47,0.92
psrchive.csv,0.33,0.23,0.12,0.12,0.17,0.66,0.75,0.52,0.02,0.53,0.23,0.43,0.0
re2c.csv,0.25,0.18,0.02,0.52,0.53,0.41,0.27,0.58,0.04,0.37,0.65,0.48,0.15
rebecca-aiml.csv,0.16,0.04,0.37,0.21,0.52,0.45,0.58,0.45,0.02,0.55,0.79,0.14,0.18
thrust.csv,0.06,0.04,0.39,0.08,0.24,0.09,0.04,0.55,0.15,0.24,0.56,0.83,0.02
tzod.csv,0.46,0.32,0.45,0.29,0.37,0.43,0.46,0.27,0.19,0.39,0.08,0.21,0.48
yaprm.csv,0.46,0.38,0.55,0.15,0.29,0.02,0.35,0.14,0.32,0.29,0.42,0.13,0.12
