,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.04,0.0,0.06,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.06,0.17,0.0,0.91
columba.csv,0.71,0.71,0.35,0.48,0.3,0.52,0.09,0.55,0.5,0.23,0.58,0.33,0.7,0.24
encog-cs.csv,0.7,0.74,0.27,0.62,0.26,0.42,0.07,0.79,0.14,0.14,0.39,0.36,0.78,0.17
fido.csv,0.19,0.0,0.0,0.0,0.1,0.0,0.38,0.06,0.0,0.28,0.24,0.0,0.81,0.0
flexpay.csv,0.47,0.66,0.26,0.44,0.36,0.41,0.07,0.48,0.17,0.27,0.5,0.43,0.64,0.4
fluent-nhibernate.csv,0.76,0.42,0.43,0.49,0.32,0.39,0.07,0.32,0.17,0.52,0.44,0.23,0.44,0.0
geochat.csv,0.18,0.0,0.19,0.08,0.22,0.16,0.0,0.32,0.14,0.12,0.39,0.48,0.34,0.0
gpsmid.csv,0.79,0.73,0.25,0.52,0.31,0.41,0.11,0.93,0.19,0.42,0.47,0.38,0.77,0.11
k3d.csv,0.08,0.11,0.56,0.11,0.08,0.26,0.0,0.19,0.0,0.26,0.28,0.22,0.34,0.0
m-a-d-n-e-s-s.csv,0.39,0.11,0.18,0.33,0.22,0.62,0.09,0.43,0.15,0.28,0.49,0.24,0.29,0.22
mob-sen-plat.csv,0.7,0.75,0.36,0.59,0.3,0.49,0.07,0.77,0.15,0.21,0.57,0.29,0.82,0.18
ninject.csv,0.53,0.19,0.16,0.23,0.26,0.43,0.11,0.78,0.53,0.21,0.29,0.34,0.62,0.08
uface.csv,0.72,0.57,0.28,0.55,0.32,0.48,0.09,0.88,0.17,0.24,0.51,0.39,0.94,0.19
v8.csv,0.58,0.15,0.2,0.45,0.26,0.42,0.07,0.91,0.11,0.25,0.41,0.37,0.68,0.0
