,gpsmid.csv,mob-sen-plat.csv,k3d.csv,encog-cs.csv,flexpay.csv,m-a-d-n-e-s-s.csv,fido.csv,v8.csv,ninject.csv,fluent-nhibernate.csv,columba.csv,geochat.csv,uface.csv,cme.csv
cme.csv,0.0,0.05,0.02,0.0,0.07,0.02,0.0,0.0,0.05,0.01,0.01,0.14,0.0,0.02
columba.csv,0.53,0.45,0.48,0.29,0.58,0.3,0.77,0.23,0.07,0.63,0.22,0.21,0.22,0.62
encog-cs.csv,0.97,0.9,0.9,0.31,0.78,0.45,0.98,0.77,0.89,0.96,0.96,0.87,0.98,0.96
fido.csv,0.0,0.0,0.0,0.0,0.01,0.0,0.13,0.0,0.0,0.05,0.03,0.03,0.65,0.0
flexpay.csv,0.24,0.7,0.74,0.81,0.25,0.17,0.47,0.31,0.29,0.13,0.6,0.24,0.13,0.21
fluent-nhibernate.csv,0.39,0.25,0.14,0.35,0.36,0.33,0.23,0.0,0.11,0.17,0.14,0.32,0.2,0.1
geochat.csv,0.29,0.05,0.37,0.06,0.29,0.17,0.52,0.15,0.38,0.18,0.79,0.24,0.07,0.31
gpsmid.csv,0.16,0.85,0.92,0.97,0.36,0.8,0.6,0.85,0.44,0.26,0.5,0.99,0.52,0.58
k3d.csv,0.03,0.0,0.18,0.03,0.03,0.15,0.27,0.08,0.18,0.14,0.1,0.02,0.15,0.1
m-a-d-n-e-s-s.csv,0.0,0.0,0.18,0.18,0.23,0.25,0.17,0.15,0.13,0.34,0.17,0.06,0.06,0.37
mob-sen-plat.csv,0.76,0.35,0.52,0.75,0.92,0.7,0.8,0.69,0.36,0.75,0.41,0.36,0.54,0.9
ninject.csv,0.18,0.25,0.49,0.16,0.31,0.67,0.3,0.23,0.16,0.42,0.29,0.43,0.35,0.37
uface.csv,0.5,0.35,0.81,0.71,0.7,0.9,0.83,0.92,0.89,0.55,0.5,0.8,0.04,0.81
v8.csv,0.66,0.15,0.55,0.8,0.55,0.78,0.5,0.23,0.85,0.37,0.71,0.32,0.72,0.27
