,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.67,0.7,0.57,0.96,0.51,0.3,0.38,0.4,0.91,0.68,0.64,0.45
autowikibrowser.csv,0.75,0.67,0.52,0.51,0.41,0.73,0.62,0.7,0.55,0.95,0.86,0.7
cities3d.csv,0.08,0.73,0.21,0.56,0.06,0.92,0.12,0.1,0.09,0.07,0.18,0.0
firebird.csv,0.42,0.47,0.98,0.42,0.54,0.49,0.44,0.3,0.32,0.41,0.55,0.62
hydrogen.csv,0.42,0.53,0.55,0.41,0.19,0.46,0.81,0.2,0.27,0.55,0.45,0.49
lphant.csv,0.42,0.8,0.53,0.8,0.71,0.7,0.62,0.4,0.95,0.7,0.73,0.32
qgo.csv,0.25,0.97,0.41,0.41,0.25,0.62,0.31,0.5,0.86,0.68,0.27,0.34
quickfast.csv,0.67,0.5,0.67,0.63,0.7,0.68,0.62,0.5,0.86,0.82,0.86,1.0
rhex.csv,0.92,0.53,0.09,0.41,0.25,0.14,0.19,0.1,0.18,0.39,0.14,0.04
rocrail.csv,0.08,0.2,0.14,0.16,0.06,0.35,0.31,0.2,0.0,0.09,1.0,0.06
xined.csv,0.08,0.8,0.12,0.45,0.06,0.54,0.5,1.0,0.23,0.09,0.14,0.19
yield.csv,0.5,0.83,0.59,0.71,0.98,0.73,0.75,0.7,0.82,0.82,0.86,0.62
