,rhex.csv,qgo.csv,firebird.csv,applet2app.csv,yield.csv,cities3d.csv,hydrogen.csv,xined.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv
applet2app.csv,0.51,0.47,0.48,0.63,0.61,0.5,0.86,0.46,0.42,0.49,0.55,0.5
autowikibrowser.csv,0.54,0.35,0.42,0.45,0.56,0.45,0.51,0.41,0.52,0.45,0.33,0.43
cities3d.csv,0.8,0.41,0.98,0.57,0.83,0.97,0.75,0.75,0.67,0.75,0.92,0.0
firebird.csv,0.7,0.58,0.5,0.64,0.61,0.56,0.71,0.52,0.69,0.67,0.58,0.47
hydrogen.csv,0.68,0.64,0.57,0.64,0.91,0.66,0.85,0.86,0.91,0.6,0.73,0.48
lphant.csv,0.72,0.38,0.56,0.49,0.48,0.61,0.58,0.64,0.52,0.4,0.52,0.71
qgo.csv,0.67,0.45,0.51,0.56,0.79,0.38,0.89,0.69,0.33,0.39,0.87,0.64
quickfast.csv,0.46,0.37,0.37,0.46,0.51,0.37,0.57,0.37,0.36,0.36,0.39,0.38
rhex.csv,0.91,0.55,0.97,0.64,0.86,0.94,0.75,0.0,0.8,0.73,0.8,0.5
rocrail.csv,0.83,0.86,0.97,0.99,0.8,0.98,0.86,0.8,0.0,0.75,0.68,0.75
xined.csv,0.88,0.4,0.97,0.61,0.88,0.96,0.83,0.9,0.86,0.92,0.9,0.92
yield.csv,0.49,0.35,0.38,0.42,0.52,0.35,0.46,0.32,0.36,0.36,0.38,0.37
