,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.54,0.56,0.57,0.67,0.76,0.67,0.5,0.45,0.86,0.91,0.68,0.85,0.14,0.13,0.38
grafx2.csv,0.34,0.33,0.72,0.42,0.16,0.49,0.31,0.09,0.41,0.3,0.34,0.85,0.29,0.4,0.25
keyczar.csv,0.07,0.19,0.16,0.33,0.21,0.02,0.32,0.03,0.25,0.46,0.32,0.0,0.07,0.2,0.09
lmms.csv,0.55,0.3,0.19,0.83,0.68,0.25,0.88,0.45,0.76,0.96,0.68,0.55,0.07,0.27,0.66
lufa-lib.csv,0.52,0.34,0.68,0.33,0.92,0.33,0.48,0.96,0.43,0.3,0.63,0.1,0.21,0.4,0.88
netatalk.csv,0.54,0.56,0.52,0.25,0.34,0.69,0.21,0.98,0.33,0.42,0.24,0.81,0.5,0.87,0.62
openmeetings.csv,0.25,0.21,0.19,0.12,0.08,0.4,0.32,0.1,0.43,0.44,0.47,0.43,0.14,0.0,0.19
openxava.csv,0.38,0.16,0.38,0.12,0.11,0.29,0.4,0.36,0.52,0.51,0.45,0.36,0.29,0.4,0.22
pgui.csv,0.06,0.07,0.99,1.0,0.45,0.0,0.0,0.2,0.3,0.99,0.68,0.0,0.57,1.0,1.0
qpe.csv,0.31,0.37,0.38,0.46,0.5,0.49,0.06,0.21,0.42,0.91,0.55,0.66,0.29,0.33,0.22
quickfast.csv,0.89,0.86,0.81,0.92,0.82,0.61,0.55,0.44,0.95,0.97,0.55,0.97,0.86,0.8,0.25
rsyslog.csv,0.38,0.49,0.38,0.29,0.18,0.68,0.18,0.93,0.51,0.49,0.39,0.99,0.43,0.13,0.22
sylpheed-claws.csv,0.9,0.96,0.91,1.0,1.0,0.69,0.3,0.62,0.55,1.0,1.0,0.85,1.0,1.0,1.0
xqilla.csv,0.1,0.27,0.81,0.0,0.0,0.19,0.04,0.0,0.31,0.38,0.26,0.06,0.14,0.33,0.16
yale.csv,0.62,0.66,0.08,1.0,1.0,0.26,0.52,0.14,0.34,0.96,1.0,0.25,0.71,0.4,0.41
