,apolloplayer.csv,utgb.csv,pcgen.csv,emulemorph.csv,continuum-ide.csv,azureus.csv,stemkit.csv,factor.csv,columba.csv
apolloplayer.csv,0.0,0.29,0.26,0.16,0.36,0.5,0.43,0.43,0.24
azureus.csv,0.25,0.35,0.16,0.09,0.33,0.01,0.15,0.43,0.83
columba.csv,0.24,0.26,0.33,0.32,0.51,0.55,0.74,0.52,0.0
continuum-ide.csv,0.1,0.03,0.19,0.12,0.0,0.14,0.07,0.0,0.07
emulemorph.csv,0.0,0.0,0.0,0.0,0.03,0.0,0.11,0.17,0.24
factor.csv,0.16,0.0,0.04,0.09,0.18,0.08,0.14,0.04,0.03
pcgen.csv,0.39,0.39,0.0,0.16,0.44,0.25,0.04,0.09,0.18
stemkit.csv,0.05,0.0,0.02,0.03,0.05,0.02,0.0,0.04,0.01
utgb.csv,0.13,0.0,0.05,0.13,0.26,0.07,0.08,0.17,0.39
