,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.01,0.09,0.48,0.36,0.56,0.4,0.55,0.6,0.56,0.14,0.28,0.5,0.36
bscwweasel.csv,0.05,0.33,0.53,0.68,0.59,0.43,0.46,0.0,0.56,0.42,0.56,0.33,0.11
capcode.csv,0.04,0.58,0.43,0.56,0.42,0.07,0.81,0.19,0.33,0.0,0.43,0.52,0.33
emite.csv,0.65,0.45,0.17,0.12,0.27,0.49,0.0,0.61,0.16,0.47,0.37,0.67,0.46
extprosys.csv,0.0,0.09,0.35,0.67,0.59,0.61,0.47,0.06,0.49,0.0,0.44,0.57,0.5
lamp.csv,0.4,0.61,0.5,0.53,0.27,0.59,0.56,0.0,0.59,0.36,0.55,0.41,0.0
retromenu.csv,0.15,0.53,0.41,0.34,0.84,0.27,0.59,0.62,0.21,0.34,0.56,0.23,0.46
smbopensoft.csv,0.78,0.09,0.42,0.46,0.41,0.38,0.5,0.37,0.37,0.55,0.51,0.59,0.62
snakeyaml.csv,0.53,0.24,0.43,0.29,0.51,0.32,0.1,0.26,0.29,0.0,0.63,0.04,0.37
stuproa-cims.csv,0.0,0.17,0.47,0.4,0.72,0.0,0.2,0.64,0.57,0.0,0.3,0.39,0.0
ta3d.csv,0.0,0.17,0.44,0.12,0.72,0.0,0.2,0.0,0.19,0.67,0.05,0.3,0.59
thout.csv,0.56,0.05,0.6,0.24,0.51,0.05,0.05,0.09,0.17,0.13,0.57,0.2,0.36
vrjuggler.csv,0.09,0.44,0.41,0.29,0.53,0.53,0.4,0.31,0.42,0.71,0.43,0.65,0.53
