,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,9.0,3.0,0.0,49.0,17.0,0.0,0.0,1.0,6.0,1.0,58.0,3.0,0.0
bscwweasel.csv,1.0,11.0,2.0,3.0,6.0,2.0,3.0,116.0,2.0,2.0,12.0,5.0,0.0
capcode.csv,1.0,12.0,2.0,41.0,8.0,0.0,0.0,1.0,3.0,74.0,56.0,3.0,0.0
emite.csv,0.0,44.0,3.0,15.0,15.0,2.0,82.0,4.0,3.0,1.0,31.0,2.0,0.0
extprosys.csv,1.0,12.0,2.0,41.0,7.0,1.0,0.0,0.0,6.0,14.0,68.0,4.0,0.0
lamp.csv,1.0,8.0,0.0,28.0,13.0,0.0,15.0,5.0,4.0,9.0,45.0,1.0,3.0
retromenu.csv,0.0,18.0,4.0,12.0,0.0,0.0,4.0,4.0,9.0,4.0,10.0,0.0,0.0
smbopensoft.csv,0.0,12.0,13.0,13.0,13.0,1.0,14.0,5.0,5.0,8.0,47.0,1.0,2.0
snakeyaml.csv,1.0,4.0,2.0,5.0,3.0,0.0,10.0,2.0,0.0,74.0,1.0,0.0,0.0
stuproa-cims.csv,199.0,0.0,16.0,0.0,15.0,186.0,0.0,1.0,2.0,74.0,8.0,1.0,50.0
ta3d.csv,199.0,2.0,26.0,5.0,14.0,186.0,0.0,116.0,2.0,6.0,2.0,0.0,1.0
thout.csv,1.0,13.0,2.0,5.0,9.0,2.0,0.0,5.0,6.0,13.0,51.0,2.0,3.0
vrjuggler.csv,1.0,9.0,1.0,49.0,9.0,2.0,0.0,0.0,5.0,7.0,57.0,3.0,2.0
