,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.01,0.07,0.45,0.7,0.62,0.36,0.75,0.57,0.55,0.12,0.26,0.81,0.31
bscwweasel.csv,0.04,0.29,0.5,0.65,0.57,0.42,0.42,0.0,0.56,0.38,0.52,0.29,0.09
capcode.csv,0.03,0.93,0.91,0.9,0.38,0.06,0.83,0.16,0.29,0.0,0.89,0.58,0.29
emite.csv,0.89,0.5,0.14,0.1,0.24,0.7,0.0,0.59,0.13,0.44,0.33,0.68,0.43
extprosys.csv,1.0,0.93,0.93,0.95,1.0,0.58,1.0,0.05,0.69,1.0,0.93,0.68,0.46
lamp.csv,0.85,0.57,0.55,0.7,0.9,0.64,0.83,1.0,0.58,1.0,0.59,0.39,1.0
retromenu.csv,0.12,0.5,0.36,0.3,0.86,0.23,0.58,0.62,0.18,0.31,0.52,0.19,0.43
smbopensoft.csv,0.78,1.0,0.84,0.45,0.86,0.34,0.5,0.92,0.33,0.62,0.89,0.81,0.83
snakeyaml.csv,0.48,0.21,0.39,0.25,0.48,0.28,0.08,0.22,0.25,0.0,0.59,0.03,0.34
stuproa-cims.csv,0.0,0.14,0.43,0.35,0.81,0.0,0.17,0.68,0.53,0.0,0.26,0.35,0.0
ta3d.csv,0.0,0.14,0.41,0.1,0.81,0.0,0.17,0.0,0.16,0.88,0.04,0.26,0.6
thout.csv,0.85,1.0,0.57,0.2,0.62,0.98,1.0,0.97,0.89,1.0,0.89,0.9,0.74
vrjuggler.csv,0.96,0.79,0.68,0.8,0.57,0.68,0.42,0.27,0.38,0.75,0.41,0.87,0.54
