,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,extprosys.csv,capcode.csv,aufs.csv,stuproa-cims.csv,vrjuggler.csv,snakeyaml.csv,emite.csv,ta3d.csv
aufs.csv,0.99,0.93,0.64,0.93,0.71,0.69,0.77,0.49,0.61,0.9,0.94,0.82,0.7
bscwweasel.csv,0.96,0.73,0.57,0.4,0.53,0.8,0.64,1.0,0.62,0.66,0.51,0.76,0.92
capcode.csv,0.97,0.77,0.86,0.79,0.67,0.95,0.33,0.84,0.72,1.0,0.87,0.75,0.73
emite.csv,0.7,0.85,0.87,0.92,0.85,0.84,1.04,0.5,0.88,0.65,0.73,0.48,0.68
extprosys.csv,1.0,0.99,0.91,0.69,0.78,0.48,0.85,0.95,0.83,1.0,0.86,0.73,0.6
lamp.csv,0.89,0.46,0.77,0.79,0.94,0.66,0.78,1.0,0.55,0.9,0.71,0.79,1.0
retromenu.csv,0.88,0.58,0.65,0.72,0.26,0.79,0.57,0.54,0.84,0.83,0.52,0.81,0.68
smbopensoft.csv,0.3,0.98,0.88,0.72,0.88,0.7,0.7,0.89,0.76,0.72,0.82,0.75,0.71
snakeyaml.csv,0.53,0.83,0.65,0.76,0.61,0.73,0.93,0.8,0.8,1.0,0.44,0.97,0.76
stuproa-cims.csv,1.0,0.86,0.62,0.67,0.55,1.0,0.84,0.59,0.49,1.0,0.74,0.68,1.0
ta3d.csv,1.0,0.86,0.71,0.9,0.52,1.0,0.85,1.0,0.84,0.67,0.96,0.78,0.59
thout.csv,0.78,0.99,0.5,0.8,0.81,0.99,0.99,0.98,0.97,0.97,0.78,0.95,0.91
vrjuggler.csv,0.98,0.86,0.9,0.94,0.72,0.78,0.87,0.74,0.69,0.48,0.77,0.69,0.68
