,openefm.csv,jgnash.csv,ingex.csv,ambulant.csv,synecdoche.csv
ambulant.csv,9.0,28.0,1.0,0.0,0.0
ingex.csv,1.0,9.0,0.0,2.0,1.0
jgnash.csv,0.0,0.0,78.0,2.0,0.0
openefm.csv,0.0,14.0,0.0,2.0,0.0
synecdoche.csv,5.0,28.0,1.0,15.0,0.0
