,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.04,0.14,0.27,0.5,0.29,0.33,0.98,0.4,0.65,0.42,0.0,0.71,0.53,0.46,0.0
bscwweasel.csv,0.28,0.0,0.18,1.0,0.29,0.08,0.08,0.11,0.13,0.14,0.0,0.0,0.24,0.07,0.0
capcode.csv,0.01,0.07,0.23,0.1,0.0,1.0,0.08,0.15,0.09,0.42,0.0,0.06,0.0,0.06,0.0
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
emite.csv,0.04,0.71,0.59,0.3,0.48,0.17,0.38,0.38,0.26,0.28,0.33,1.0,0.18,0.22,0.0
fluent-nhibernate.csv,0.0,0.07,0.07,0.25,0.38,0.0,0.39,0.4,0.22,0.11,0.33,0.16,0.94,0.21,0.0
lamp.csv,0.01,0.86,0.14,0.25,0.29,0.17,0.08,0.05,0.35,0.33,0.33,0.03,0.59,0.09,0.0
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.04,0.06,1.0,0.0,0.0,0.0,0.0
nodal.csv,0.03,0.36,0.27,0.2,0.43,0.25,0.23,0.09,1.0,0.33,0.33,0.23,0.29,0.07,0.2
pydev.csv,0.6,0.07,0.41,0.6,0.81,0.5,0.16,0.78,0.48,0.97,1.0,0.19,0.24,0.29,0.8
retromenu.csv,0.01,0.14,0.27,0.25,0.95,0.33,0.06,0.13,0.22,0.81,0.67,0.06,0.29,0.03,0.8
smbopensoft.csv,0.94,0.57,0.59,0.45,0.76,0.33,0.48,0.29,0.35,0.31,1.0,0.32,0.59,0.32,0.4
stuproa-cims.csv,0.98,0.57,0.75,0.55,1.0,0.67,0.72,0.89,0.7,0.81,1.0,0.55,0.88,0.87,1.0
thout.csv,0.32,0.64,0.86,0.6,0.57,0.67,0.81,0.91,0.61,0.64,0.67,0.74,0.18,0.38,0.8
uface.csv,0.98,1.0,0.91,0.9,0.95,0.92,0.98,0.73,0.7,0.72,1.0,0.74,0.88,0.98,0.2
