,unladen-swallow.csv,flylegacy.csv,gotjava.csv,novembre.csv,k3d.csv,qtwin.csv,empserver.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,acdk.csv,galaxium.csv,auber.csv,cortex-vfx.csv,duplicati.csv,linux-ntfs.csv,growl-for-windows.csv,tweetsharp.csv,libarchive.csv
acdk.csv,0.4,0.5,0.36,0.22,0.15,0.28,0.15,0.13,0.15,0.28,0.21,0.15,0.29,0.67,0.0,0.59,0.11,0.2,0.25
auber.csv,0.94,0.59,0.99,0.55,0.78,0.99,0.7,0.56,0.92,0.77,0.99,0.49,0.27,0.35,1.0,0.79,0.67,0.6,0.62
cortex-vfx.csv,0.36,0.14,0.31,0.32,0.17,0.26,0.09,0.28,0.15,0.25,0.2,0.09,0.29,0.23,0.0,0.48,0.06,0.2,0.21
empserver.csv,0.64,0.91,0.98,0.65,0.45,0.59,0.24,0.56,0.23,0.88,0.67,0.46,0.65,0.89,0.0,0.93,0.44,0.73,0.74
flylegacy.csv,0.36,0.36,0.52,0.57,0.21,0.15,0.12,0.8,0.54,0.72,0.18,0.45,0.53,0.33,1.0,0.45,0.28,0.8,0.25
galaxium.csv,0.41,0.73,0.74,0.5,0.34,0.3,0.15,0.38,0.31,0.23,0.37,0.11,0.29,0.47,0.0,0.69,0.33,0.47,0.04
growl-for-windows.csv,0.0,0.0,0.01,0.62,0.01,0.0,0.09,0.52,0.62,0.1,0.0,0.16,0.25,0.09,1.0,0.21,0.11,0.6,0.0
k3d.csv,0.19,0.32,0.04,0.55,0.15,0.15,0.97,0.44,0.31,0.2,0.05,0.22,0.13,0.16,0.0,0.34,0.11,0.13,0.59
libarchive.csv,0.93,0.68,0.92,0.88,0.9,0.76,0.64,0.84,1.0,0.52,0.54,1.0,0.71,0.82,1.0,0.83,0.89,0.73,0.22
linux-ntfs.csv,0.35,0.59,0.7,0.7,0.57,0.05,0.33,0.77,0.85,0.8,0.65,0.46,0.42,0.08,1.0,0.34,0.83,0.73,0.37
m-a-d-n-e-s-s.csv,0.25,0.41,0.49,0.2,0.14,0.12,0.39,0.0,0.0,0.2,0.06,0.13,0.13,0.13,0.0,0.21,0.28,0.27,0.24
novembre.csv,0.26,0.27,0.25,0.22,0.12,0.2,0.58,0.02,0.15,0.07,0.37,0.05,0.02,0.03,0.0,0.17,0.0,0.07,0.63
qtwin.csv,0.04,0.09,0.05,0.0,0.08,0.09,0.0,0.07,0.23,0.02,0.1,0.07,0.07,0.62,0.0,0.21,0.06,0.13,0.0
st-filteredstatistics.csv,0.8,0.95,0.92,1.0,0.41,0.59,0.91,1.0,0.15,0.88,0.84,0.72,0.31,0.96,1.0,0.69,0.89,0.53,0.75
tweetsharp.csv,0.65,0.0,0.33,0.32,0.17,0.7,0.06,0.79,0.77,0.3,0.39,0.3,0.47,0.29,1.0,0.17,0.39,0.27,0.06
unladen-swallow.csv,0.2,0.41,0.13,0.45,0.3,0.23,0.58,0.26,0.31,0.28,0.22,0.25,0.15,0.32,0.0,0.0,0.22,0.33,0.19
wishmaster.csv,0.17,0.55,0.29,0.28,0.3,0.37,0.09,0.28,0.31,0.22,0.21,0.46,0.16,0.29,0.0,0.0,0.44,0.2,0.0
