,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.88,0.57,1.0,0.55,0.09,0.12,0.19,0.31,1.0,0.22,0.88,0.72
baadengine.csv,0.99,0.67,0.41,0.66,0.0,0.11,0.22,0.29,0.67,0.3,0.89,0.77
chaosrts.csv,0.75,0.66,0.32,0.68,0.04,0.09,0.17,0.19,0.42,0.29,1.0,0.64
chaperon.csv,0.0,1.0,0.29,0.86,0.0,1.0,0.0,0.0,0.5,0.29,1.0,0.0
empyrean.csv,0.89,1.0,0.41,0.67,0.07,0.29,0.21,0.26,0.6,0.24,0.9,0.55
hydrate.csv,0.88,0.65,0.46,0.62,0.05,0.12,0.3,0.26,0.53,0.41,0.9,1.0
jaxlib.csv,0.68,0.25,0.0,0.33,1.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0
joustsim.csv,0.87,0.72,0.39,0.75,0.05,0.11,0.2,1.0,0.53,0.43,1.0,0.83
loki-lib.csv,0.71,0.63,0.4,0.67,0.06,0.07,0.14,0.23,1.0,0.38,0.93,0.68
owlapi.csv,0.95,0.0,0.5,0.83,0.0,0.0,1.0,0.33,0.0,0.35,1.0,1.0
pamguard.csv,0.79,0.69,0.3,1.0,0.0,0.14,0.26,0.29,0.36,0.27,1.0,0.63
poormans.csv,0.64,0.67,0.38,0.77,0.07,0.12,0.26,0.42,0.56,1.0,0.93,0.69
