,baadengine.csv,empyrean.csv,atomsite.csv,pamguard.csv,jaxlib.csv,chaperon.csv,owlapi.csv,joustsim.csv,loki-lib.csv,poormans.csv,chaosrts.csv,hydrate.csv
atomsite.csv,0.05,0.08,0.0,0.64,0.44,0.46,0.52,0.15,0.0,0.49,0.32,0.26
baadengine.csv,0.02,0.45,0.52,0.7,0.69,0.35,0.4,0.4,0.11,0.45,0.68,0.42
chaosrts.csv,0.98,0.92,0.93,0.67,0.96,0.6,0.46,0.78,0.85,0.57,0.0,0.95
chaperon.csv,0.0,0.0,0.11,0.03,0.04,0.0,0.01,0.05,0.09,0.04,0.0,0.0
empyrean.csv,0.17,0.0,0.37,0.45,0.29,0.1,0.28,0.23,0.17,0.3,0.42,0.47
hydrate.csv,0.16,0.16,0.28,0.61,0.81,0.15,0.21,0.28,0.15,0.17,0.32,0.0
jaxlib.csv,0.05,0.08,0.0,0.06,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.16
joustsim.csv,0.21,0.18,0.54,0.18,0.42,0.17,0.27,0.0,0.2,0.21,0.0,0.16
loki-lib.csv,0.73,0.68,0.57,0.61,0.69,0.58,0.6,0.57,0.0,0.36,0.32,0.68
owlapi.csv,0.01,0.0,0.04,0.03,0.02,0.1,0.0,0.03,0.0,0.09,0.0,0.0
pamguard.csv,0.54,0.47,0.57,0.0,0.62,0.12,0.4,0.25,0.59,0.38,0.0,0.53
poormans.csv,0.47,0.13,0.33,0.21,0.54,0.15,0.27,0.12,0.09,0.0,0.16,0.26
