,wxcrp.csv,esmf.csv,upp-mirror.csv,open-beos.csv,pidgin.csv,cornerstone.csv,tokratan.csv,mia.csv,gretl.csv,clamav.csv,libtorrent.csv,riff-evolve.csv,frogatto.csv,kindb.csv,quantlib.csv
clamav.csv,0.39,0.27,0.65,0.47,0.82,0.58,0.23,0.09,0.88,0.7,0.91,0.49,0.66,0.81,0.21
cornerstone.csv,0.5,0.55,0.73,0.6,0.84,0.69,0.12,0.11,0.93,0.61,1.0,0.58,0.77,0.92,0.0
esmf.csv,0.32,0.42,0.5,0.42,0.75,0.49,0.09,0.15,0.84,0.35,0.87,0.53,0.41,0.67,0.18
frogatto.csv,0.4,0.26,0.69,0.45,0.74,0.56,0.21,0.09,0.88,0.46,0.86,0.49,0.71,0.75,0.25
gretl.csv,0.33,0.22,0.62,0.48,0.78,0.62,0.11,0.11,0.9,0.48,0.9,0.55,0.53,0.93,0.28
kindb.csv,0.45,0.38,0.65,0.48,0.91,0.53,0.21,0.11,0.97,0.0,0.94,0.5,0.75,0.93,0.31
libtorrent.csv,0.31,0.31,0.66,0.48,0.75,0.53,0.11,0.09,0.88,0.38,0.92,0.54,0.62,0.78,0.18
mia.csv,0.46,0.35,0.6,0.47,0.68,0.58,0.5,0.21,0.83,0.71,0.84,0.39,0.0,0.75,0.23
open-beos.csv,0.33,0.4,0.71,0.61,0.85,0.53,0.1,0.15,0.87,0.42,0.98,0.66,0.76,0.76,0.15
pidgin.csv,0.33,0.34,0.62,0.5,0.85,0.53,0.17,0.12,0.89,0.17,0.9,0.55,0.73,1.0,0.19
quantlib.csv,0.41,0.21,0.61,0.4,0.72,0.48,1.0,0.0,0.83,0.0,0.86,0.28,0.0,0.68,0.36
riff-evolve.csv,0.45,0.35,0.74,0.61,0.9,0.57,0.28,0.15,0.96,0.8,0.95,0.73,0.81,0.94,0.22
tokratan.csv,0.56,0.29,0.74,0.46,0.72,0.61,0.28,0.09,0.89,0.55,0.89,0.54,0.92,0.82,0.24
upp-mirror.csv,0.47,0.27,0.75,0.46,0.8,0.58,0.12,0.13,0.9,0.67,0.89,0.53,0.62,0.94,0.46
wxcrp.csv,0.5,0.21,0.54,0.41,0.72,0.54,0.12,0.08,0.89,0.35,0.87,0.49,0.55,0.66,0.17
